Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nikita Kucherov,20182019,TBL,L,R,82,41,87,128,24,62,1.56,26,80,15,48,0,0,0,8,246,16.7,19:58,0
Connor McDavid,20182019,EDM,L,C,78,41,75,116,3,20,1.49,31,81,9,33,1,2,3,9,240,17.1,22:50,46.6
Patrick Kane,20182019,CHI,L,R,81,44,66,110,2,22,1.36,35,80,9,30,0,0,3,7,341,12.9,22:29,20
Leon Draisaitl,20182019,EDM,L,C,82,50,55,105,2,52,1.28,31,73,16,29,3,3,3,5,231,21.7,22:35,50.5
Brad Marchand,20182019,BOS,L,L,79,36,64,100,15,96,1.27,23,59,10,34,3,7,3,9,231,15.6,19:37,42.9
Sidney Crosby,20182019,PIT,L,C,79,35,65,100,18,36,1.27,23,69,12,29,0,2,1,3,220,15.9,21:00,55.4
Johnny Gaudreau,20182019,CGY,L,L,82,36,63,99,18,24,1.21,30,72,6,27,0,0,3,8,245,14.7,20:04,33.3
Nathan MacKinnon,20182019,COL,R,C,82,41,58,99,20,34,1.21,29,62,12,37,0,0,1,6,365,11.2,22:05,43.7
Steven Stamkos,20182019,TBL,R,C,82,45,53,98,4,37,1.2,24,56,19,40,2,2,0,6,234,19.2,18:18,53.1
Aleksander Barkov,20182019,FLA,L,C,82,35,61,96,-3,8,1.17,22,64,13,31,0,1,2,5,206,17,22:21,53.7
Mitchell Marner,20182019,TOR,R,R,82,26,68,94,22,22,1.15,22,70,3,21,1,3,0,5,233,11.2,19:49,63.6
Brayden Point,20182019,TBL,R,C,79,41,51,92,27,28,1.16,21,57,20,35,0,0,2,7,191,21.5,18:55,50.8
Jonathan Huberdeau,20182019,FLA,L,L,82,30,62,92,-14,40,1.12,19,58,11,34,0,0,0,5,226,13.3,18:51,63.2
Blake Wheeler,20182019,WPG,R,R,82,20,71,91,0,60,1.11,16,55,2,33,2,3,0,3,231,8.7,20:43,35.2
Alex Ovechkin,20182019,WSH,R,L,81,51,38,89,7,40,1.1,33,61,18,28,0,0,0,5,338,15.1,20:55,20
John Tavares,20182019,TOR,L,C,82,47,41,88,19,34,1.07,37,69,10,19,0,0,1,8,286,16.4,19:05,54.5
Artemi Panarin,20182019,CBJ,R,L,79,28,59,87,14,23,1.1,22,69,6,18,0,0,4,8,191,14.7,19:51,25
Mikko Rantanen,20182019,COL,L,R,74,31,56,87,13,54,1.18,15,54,16,33,0,0,1,4,193,16.1,20:51,37
Claude Giroux,20182019,PHI,R,C,82,22,63,85,9,24,1.04,19,61,2,23,1,1,1,4,229,9.6,21:27,57.9
Mark Scheifele,20182019,WPG,R,C,82,38,46,84,8,38,1.02,26,58,12,23,0,3,3,6,199,19.1,21:52,46.3
Brent Burns,20182019,SJS,R,D,82,16,67,83,13,34,1.01,8,50,7,28,1,5,2,6,300,5.3,25:06,0
Sebastian Aho,20182019,CAR,L,C,82,30,53,83,25,26,1.01,23,54,3,24,4,5,3,7,243,12.4,20:09,48.6
Jack Eichel,20182019,BUF,R,C,77,28,54,82,-11,26,1.06,20,56,8,26,0,0,2,2,303,9.2,20:26,47
Sean Monahan,20182019,CGY,L,C,78,34,48,82,7,12,1.05,22,59,12,23,0,0,0,5,211,16.1,19:03,51.1
Phil Kessel,20182019,PIT,R,R,82,27,55,82,-19,28,1,15,46,12,36,0,0,2,10,215,12.6,17:59,44.4
Jonathan Toews,20182019,CHI,L,C,82,35,46,81,2,40,0.99,25,57,9,23,1,1,2,5,235,14.9,21:00,56.3
David Pastrnak,20182019,BOS,R,R,66,38,43,81,6,32,1.23,21,48,17,33,0,0,0,4,235,16.2,18:45,33.3
Tyler Seguin,20182019,DAL,R,C,82,33,47,80,17,18,0.98,24,53,9,27,0,0,2,8,334,9.9,20:45,53.9
Patrice Bergeron,20182019,BOS,R,C,65,32,47,79,23,30,1.22,19,45,9,27,4,7,1,3,205,15.6,18:28,56.6
Elias Lindholm,20182019,CGY,R,C,81,27,51,78,30,20,0.96,17,48,9,26,1,4,0,5,182,14.8,20:02,54.3
Ryan O'Reilly,20182019,STL,L,C,82,28,49,77,22,12,0.94,21,52,6,22,1,3,2,5,234,12,20:46,56.9
Matthew Tkachuk,20182019,CGY,L,L,80,34,43,77,14,62,0.96,23,53,11,24,0,0,0,2,207,16.4,17:36,46.2
Sean Couturier,20182019,PHI,L,C,80,33,43,76,2,34,0.95,24,58,8,17,1,1,1,5,223,14.8,22:08,57.1
Jake Guentzel,20182019,PIT,L,L,82,40,36,76,13,26,0.93,33,64,6,11,1,1,1,4,227,17.6,19:21,33.3
Teuvo Teravainen,20182019,CAR,L,L,82,21,55,76,30,12,0.93,12,47,8,24,1,5,1,1,167,12.6,17:55,41.9
Alex DeBrincat,20182019,CHI,R,L,82,41,35,76,0,15,0.93,28,52,13,24,0,0,1,3,220,18.6,17:42,45.7
Gabriel Landeskog,20182019,COL,L,L,73,34,41,75,17,51,1.03,24,48,10,27,0,0,0,9,243,14,21:09,52
Tomas Hertl,20182019,SJS,L,C,77,35,39,74,5,18,0.96,23,57,11,15,1,2,1,5,176,19.9,19:01,51.5
Mark Giordano,20182019,CGY,L,D,78,17,57,74,39,69,0.95,10,47,3,21,4,6,0,2,221,7.7,24:14,--
Nicklas Backstrom,20182019,WSH,L,C,80,22,52,74,2,30,0.93,15,49,7,25,0,0,1,5,169,13,19:57,48.6
Mika Zibanejad,20182019,NYR,R,C,82,30,44,74,-12,47,0.9,17,49,11,23,2,2,0,5,236,12.7,20:34,49.7
Auston Matthews,20182019,TOR,L,C,68,37,36,73,-9,12,1.07,25,53,12,20,0,0,2,5,251,14.7,18:33,52.1
Dylan Larkin,20182019,DET,L,C,76,32,41,73,-6,75,0.96,23,55,7,15,2,3,4,4,287,11.2,21:51,54.5
