Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Martin St. Louis,20122013,TBL,L,R,48,17,43,60,0,14,1.25,14,40,3,20,0,0,0,2,112,15.2,21:59,42.9
Steven Stamkos,20122013,TBL,R,C,48,29,28,57,-4,32,1.19,19,39,10,18,0,0,0,2,157,18.5,22:01,49.6
Sidney Crosby,20122013,PIT,L,C,36,15,41,56,26,16,1.56,12,39,3,17,0,0,0,1,124,12.1,21:06,54.3
Alex Ovechkin,20122013,WSH,R,L,48,32,24,56,2,36,1.17,16,29,16,27,0,0,0,4,220,14.6,20:53,0
Patrick Kane,20122013,CHI,L,R,47,23,32,55,11,8,1.17,15,38,8,17,0,0,0,3,138,16.7,20:03,20
Eric Staal,20122013,CAR,L,C,48,18,35,53,5,54,1.1,14,43,3,9,1,1,0,4,152,11.8,21:00,52
Chris Kunitz,20122013,PIT,L,L,48,22,30,52,30,39,1.08,13,36,9,16,0,0,0,5,113,19.5,18:01,44.4
Phil Kessel,20122013,TOR,R,R,48,20,32,52,-3,18,1.08,14,31,6,21,0,0,0,4,161,12.4,19:49,62.5
Taylor Hall,20122013,EDM,L,L,45,16,34,50,5,33,1.11,12,36,4,14,0,0,0,4,154,10.4,18:37,54.7
Ryan Getzlaf,20122013,ANA,R,C,44,15,34,49,14,41,1.11,8,31,4,15,3,3,0,3,99,15.2,20:12,48
Mike Ribeiro,20122013,WSH,L,C,48,13,36,49,-4,53,1.02,7,22,6,27,0,0,0,1,63,20.6,17:50,44.8
Pavel Datsyuk,20122013,DET,L,C,47,15,34,49,21,14,1.04,7,30,8,16,0,3,2,6,107,14,20:11,55
Claude Giroux,20122013,PHI,R,C,48,13,35,48,-7,22,1,6,26,6,21,1,1,0,2,137,9.5,21:10,54.5
Jonathan Toews,20122013,CHI,L,C,47,23,25,48,28,27,1.02,19,39,2,6,2,3,0,5,143,16.1,19:21,59.9
Henrik Zetterberg,20122013,DET,L,C,46,11,37,48,2,18,1.04,5,23,4,23,2,2,0,5,173,6.4,20:31,48.4
Nicklas Backstrom,20122013,WSH,L,C,48,8,40,48,8,20,1,5,30,3,18,0,0,0,1,82,9.8,19:54,51.4
John Tavares,20122013,NYI,L,C,48,28,19,47,-2,18,0.98,19,31,9,16,0,0,0,5,162,17.3,20:46,49.4
Andrew Ladd,20122013,WPG,L,L,48,18,28,46,10,22,0.96,15,40,3,6,0,0,0,4,121,14.9,19:41,53.7
Jakub Voracek,20122013,PHI,L,R,48,22,24,46,-7,35,0.96,14,29,8,17,0,0,0,3,129,17.1,17:14,40
Henrik Sedin,20122013,VAN,L,C,48,11,34,45,19,24,0.94,9,31,1,13,1,1,0,1,70,15.7,19:21,49.4
