#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
373,"Butler, Chris",RD,27,Stnd,UFA,"$1,700,000",82,83,2,14,16,20:15,"$20,481","$850,000","$121,428","$106,250","$1,023"
374,"Purcell, Teddy","RW, LW",28,Stnd,UFA,"$4,500,000",81,157,12,30,42,16:27,"$28,662","$375,000","$150,000","$107,142","$3,377"
375,"Carlson, John",RD,23,Stnd,UFA,"$3,966,667",82,208,10,27,37,24:30:00,"$19,070","$396,666","$146,913","$107,207","$1,974"
376,"Wisniewski, James",RD,29,Stnd,UFA,"$5,500,000",75,166,7,44,51,22:37,"$33,132","$785,714","$125,000","$107,843","$3,242"
377,"Roy, Derek",C,30,Stnd,UFA,"$4,000,000",75,114,9,28,37,13:37,"$35,087","$444,444","$142,857","$108,108","$3,916"
378,"Peverley, Rich",C,31,Stnd,UFA,"$3,250,000",62,122,7,23,30,15:23,"$26,639","$464,285","$141,304","$108,333","$3,407"
379,"McDonagh, Ryan",LD,24,Stnd,UFA,"$4,700,000",77,177,14,29,43,24:49:00,"$26,553","$335,714","$162,068","$109,302","$2,459"
380,"Goligoski, Alex",LD/RD,28,Stnd,UFA,"$4,600,000",81,141,6,36,42,24:18:00,"$32,624","$766,666","$127,777","$109,523","$2,337"
381,"Kearns, Bracken",C,32,Stnd,UFA,"$550,000",25,37,3,2,5,13:11,"$14,864","$183,333","$275,000","$110,000","$1,668"
382,"Conner, Chris",RW,30,Stnd,UFA,"$550,000",19,17,4,1,5,11:46,"$32,352","$137,500","$550,000","$110,000","$2,460"
383,"Hoffman, Mike","RW, LW",24,Stnd,RFA,"$660,000",25,61,3,3,6,13:11,"$10,819","$220,000","$220,000","$110,000","$2,002"
384,"Stastny, Paul","C, LW",28,Stnd,UFA,"$6,600,000",71,150,25,35,60,18:23,"$44,000","$264,000","$188,571","$110,000","$5,056"
385,"Downie, Steve","RW, LW",26,Stnd,UFA,"$2,650,000",62,88,4,20,24,14:06,"$30,113","$662,500","$132,500","$110,416","$3,031"
386,"Setoguchi, Devin",RW,26,Stnd,UFA,"$3,000,000",75,129,11,16,27,15:03,"$23,255","$272,727","$187,500","$111,111","$2,657"
387,"Michalek, Milan","LW, RW",29,Stnd,UFA,"$4,333,333",82,169,17,22,39,17:35,"$25,641","$254,901","$196,969","$111,111","$3,005"
388,"Bartley, Victor",LD,25,Stnd,UFA,"$666,667",50,21,1,5,6,15:21,"$31,746","$666,667","$133,333","$111,111",$868
389,"Prout, Dalton",RD,23,ELC,RFA,"$666,667",49,56,2,4,6,17:12,"$11,904","$333,333","$166,666","$111,111",$791
390,"Fowler, Cam",LD,22,Stnd,UFA,"$4,000,000",70,100,6,30,36,23:51,"$40,000","$666,666","$133,333","$111,111","$2,395"
391,"Peluso, Anthony",RW,24,Stnd,RFA,"$562,500",53,24,2,3,5,5:46,"$23,437","$281,250","$187,500","$112,500","$1,840"
392,"Tangradi, Eric",LW,24,Stnd,UFA,"$675,000",55,52,3,3,6,8:38,"$12,980","$225,000","$225,000","$112,500","$1,421"
393,"Eriksson, Loui","LW, RW",28,Stnd,UFA,"$4,250,000",61,115,10,27,37,16:31,"$36,956","$425,000","$157,407","$114,864","$4,218"
394,"Crombeen, B.J.",RW,28,Stnd,UFA,"$1,150,000",55,60,3,7,10,10:10,"$19,166","$383,333","$164,285","$115,000","$2,056"
395,"Grabner, Michael","LW, RW",26,Stnd,UFA,"$3,000,000",64,137,12,14,26,14:11,"$21,897","$250,000","$214,285","$115,384","$3,304"
396,"Sustr, Andrej",RD,23,ELC,RFA,"$925,000",43,39,1,7,8,15:47,"$23,717","$925,000","$132,142","$115,625","$1,362"
397,"Kesler, Ryan","C, RW",29,Stnd,UFA,"$5,000,000",77,239,25,18,43,21:48,"$20,920","$200,000","$277,777","$116,279","$2,978"
398,"Plekanec, Tomas",C,31,Stnd,UFA,"$5,000,000",81,199,20,23,43,19:46,"$25,125","$250,000","$217,391","$116,279","$3,122"
399,"Hemsky, Ales",RW,30,Stnd,UFA,"$5,000,000",75,138,13,30,43,15:57,"$36,231","$384,615","$166,666","$116,279","$4,179"
400,"White, Ryan",C,25,Stnd,UFA,"$700,000",52,51,2,4,6,9:41,"$13,725","$350,000","$175,000","$116,666","$1,390"
401,"Brown, Dustin","RW, LW",29,Stnd,UFA,"$3,175,000",79,195,15,12,27,15:50,"$16,282","$211,666","$264,583","$117,592","$2,538"
402,"Emelin, Alexei",LD,27,Stnd,UFA,"$2,000,000",59,58,3,14,17,19:15,"$34,482","$666,666","$142,857","$117,647","$1,760"
403,"Stafford, Drew","RW, LW",28,Stnd,UFA,"$4,000,000",70,185,16,18,34,18:38,"$21,621","$250,000","$222,222","$117,647","$3,066"
404,"Brodziak, Kyle",C,29,Stnd,UFA,"$2,833,333",81,115,8,16,24,16:13,"$24,637","$354,166","$177,083","$118,055","$2,157"
405,"Fayne, Mark",RD,26,Stnd,UFA,"$1,300,000",72,88,4,7,11,18:18,"$14,772","$325,000","$185,714","$118,181",$986
406,"Callahan, Ryan",RW,28,Stnd,UFA,"$4,275,000",65,163,17,19,36,18:38,"$26,226","$251,470","$225,000","$118,750","$3,529"
407,"Nystrom, Eric","LW, RW",30,Stnd,UFA,"$2,500,000",79,120,15,6,21,14:51,"$20,833","$166,666","$416,666","$119,047","$2,131"
408,"Zubrus, Dainius",LW,35,35+,UFA,"$3,100,000",82,121,13,13,26,17:33,"$25,619","$238,461","$238,461","$119,230","$2,154"
409,"Lupul, Joffrey","LW, RW",30,Stnd,UFA,"$5,250,000",69,191,22,22,44,18:27,"$27,486","$238,636","$238,636","$119,318","$4,123"
410,"Streit, Mark",RD,36,35+,UFA,"$5,250,000",82,121,10,34,44,20:38,"$43,388","$525,000","$154,411","$119,318","$3,102"
411,"Zajac, Travis",C,28,Stnd,UFA,"$5,750,000",80,165,18,30,48,20:18,"$34,848","$319,444","$191,666","$119,791","$3,540"
412,"Burns, Brent",RD,28,Stnd,UFA,"$5,760,000",69,245,22,26,48,16:48,"$23,510","$261,818","$221,538","$120,000","$4,968"
413,"Stoll, Jarret",C,31,Stnd,UFA,"$3,250,000",78,109,8,19,27,15:51,"$29,816","$406,250","$171,052","$120,370","$2,628"
414,"Lewis, Trevor",RW,26,Stnd,UFA,"$1,325,000",73,111,6,5,11,13:15,"$11,936","$220,833","$265,000","$120,454","$1,369"
415,"Ovechkin, Alex","LW, RW",28,Stnd,UFA,"$9,538,462",78,386,51,28,79,20:32,"$24,711","$187,028","$340,659","$120,740","$5,955"
416,"Malkin, Evgeni",C,27,Stnd,UFA,"$8,700,000",60,191,23,49,72,20:03,"$45,549","$378,260","$177,551","$120,833","$7,231"
417,"Lashoff, Brian",LD,23,Stnd,RFA,"$725,000",75,38,1,5,6,14:25,"$19,078","$725,000","$145,000","$120,833",$670
418,"Parenteau, PA",RW,30,Stnd,UFA,"$4,000,000",55,110,14,19,33,16:57,"$36,363","$285,714","$210,526","$121,212","$4,290"
419,"Ehrhoff, Christian",LD,31,Stnd,UFA,"$4,000,000",79,161,6,27,33,23:54,"$24,844","$666,666","$148,148","$121,212","$2,118"
420,"Lecavalier, Vincent","C, LW",33,Stnd,UFA,"$4,500,000",69,132,20,17,37,15:11,"$34,090","$225,000","$264,705","$121,621","$4,295"
421,"Marincin, Martin",LD,21,ELC,RFA,"$730,000",44,28,0,6,6,19:09,"$26,071",∞,"$121,666","$121,666",$866
422,"Sedin, Henrik",C,33,Stnd,UFA,"$6,100,000",70,97,11,39,50,20:40,"$62,886","$554,545","$156,410","$122,000","$4,216"
423,"Versteeg, Kris","LW, RW",27,Stnd,UFA,"$4,400,000",81,157,12,24,36,14:27,"$28,025","$366,666","$183,333","$122,222","$3,759"
424,"Ellerby, Keaton",D,25,Stnd,UFA,"$735,000",51,33,2,4,6,13:54,"$22,272","$367,500","$183,750","$122,500","$1,036"
425,"Jackman, Tim",RW,32,Stnd,UFA,"$612,500",36,46,4,1,5,7:06,"$13,315","$153,125","$612,500","$122,500","$2,396"
426,"Voynov, Slava",RD,23,Stnd,UFA,"$4,166,666",82,143,4,30,34,22:17,"$29,137","$1,041,666","$138,888","$122,549","$2,280"
427,"Gionta, Brian",RW,34,Stnd,UFA,"$5,000,000",81,184,18,22,40,17:50,"$27,173","$277,777","$227,272","$125,000","$3,461"
428,"Koivu, Mikko",C,30,Stnd,UFA,"$6,750,000",65,147,11,43,54,20:56,"$45,918","$613,636","$156,976","$125,000","$4,960"
429,"Frattin, Matt",RW,25,Stnd,RFA,"$875,000",44,61,2,5,7,12:00,"$14,344","$437,500","$175,000","$125,000","$1,657"
430,"Kindl, Jakub",LD,26,Stnd,UFA,"$2,400,000",66,93,2,17,19,17:13,"$25,806","$1,200,000","$141,176","$126,315","$2,112"
431,"Zetterberg, Henrik",C,33,Stnd,UFA,"$6,083,333",45,151,16,32,48,20:33,"$40,286","$380,208","$190,104","$126,736","$6,578"
