#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Panarin, Artemi",LW,24,ELC,RFA,"$812,500",80,187,30,47,77,18:31,"$4,344","$27,083","$17,287","$10,551",$548
2,"Kucherov, Nikita",RW,22,ELC,RFA,"$711,667",77,209,30,36,66,18:12,"$3,405","$23,722","$19,768","$10,782",$507
3,"Gaudreau, Johnny",LW,22,ELC,RFA,"$925,000",79,217,30,48,78,19:55,"$4,262","$30,833","$19,270","$11,858",$587
4,"Trocheck, Vincent","C, RW",22,ELC,RFA,"$661,667",76,174,25,28,53,17:46,"$3,802","$26,466","$23,630","$12,484",$490
5,"Forsberg, Filip",LW,21,ELC,RFA,"$894,167",82,247,33,31,64,19:03,"$3,620","$27,095","$28,844","$13,971",$572
6,"Scheifele, Mark",C,22,ELC,RFA,"$863,333",71,194,29,32,61,18:32,"$4,450","$29,770","$26,979","$14,153",$656
7,"Rask, Victor",C,22,ELC,RFA,"$680,833",80,160,21,27,48,16:58,"$4,255","$32,420","$25,216","$14,184",$501
8,"Monahan, Sean",C,21,ELC,RFA,"$925,000",81,197,27,36,63,19:10,"$4,695","$34,259","$25,694","$14,682",$595
9,"Barkov, Aleksander",C,20,ELC,RFA,"$925,000",66,171,28,31,59,19:25,"$5,409","$33,035","$29,838","$15,677",$721
10,"Jenner, Boone","C, LW",22,ELC,RFA,"$778,333",82,225,30,19,49,16:24,"$3,459","$25,944","$40,964","$15,884",$578
11,"Eichel, Jack",C,19,ELC,RFA,"$925,000",81,238,24,32,56,19:07,"$3,886","$38,541","$28,906","$16,517",$597
12,"Domi, Max","C, LW",20,ELC,RFA,"$863,333",81,156,18,34,52,16:22,"$5,534","$47,962","$25,392","$16,602",$651
13,"Stempniak, Lee",RW,32,Stnd,UFA,"$850,000",82,146,19,32,51,17:56,"$5,821","$44,736","$26,562","$16,666",$578
14,"Duclair, Anthony","LW, RW",20,ELC,RFA,"$772,500",81,105,20,24,44,14:22,"$7,357","$38,625","$32,187","$17,556",$663
15,"MacKinnon, Nathan","C, RW",20,ELC,RFA,"$925,000",72,245,21,31,52,18:51,"$3,775","$44,047","$29,838","$17,788",$681
16,"Draisaitl, Leon","C, LW, RW",20,ELC,RFA,"$925,000",72,133,19,32,51,18:03,"$6,954","$48,684","$28,906","$18,137",$711
17,"McDavid, Connor",C,18,ELC,RFA,"$925,000",45,105,16,32,48,18:53,"$8,809","$57,812","$28,906","$19,270","$1,088"
18,"Spooner, Ryan","C, LW",23,Stnd,RFA,"$950,000",80,162,13,36,49,15:08,"$5,864","$73,076","$26,388","$19,387",$784
19,"Hertl, Tomas","C, RW",22,ELC,RFA,"$925,000",81,202,21,25,46,15:58,"$4,579","$44,047","$37,000","$20,108",$715
20,"Gostisbehere, Shayne",LD,22,ELC,RFA,"$925,000",64,152,17,29,46,20:05,"$6,085","$54,411","$31,896","$20,108",$719
21,"Miller, J.T.","LW, C",22,Stnd,RFA,"$874,000",82,135,22,21,43,15:02,"$6,474","$39,727","$41,619","$20,325",$708
22,"Larkin, Dylan","C, LW",19,ELC,RFA,"$925,000",80,221,23,22,45,16:32,"$4,185","$40,217","$42,045","$20,555",$699
23,"Rakell, Rickard","RW, LW",22,ELC,RFA,"$894,167",72,169,20,23,43,16:04,"$5,290","$44,708","$38,876","$20,794",$772
24,"Pageau, Jean-Gabriel",C,23,Stnd,RFA,"$900,000",82,133,19,24,43,16:42,"$6,766","$47,368","$37,500","$20,930",$657
25,"Reinhart, Sam","C, RW",20,ELC,RFA,"$894,167",79,165,23,19,42,16:50,"$5,419","$38,876","$47,061","$21,289",$672
26,"Horvat, Bo",C,20,ELC,RFA,"$894,167",82,155,16,24,40,17:07,"$5,768","$55,885","$37,256","$22,354",$637
27,"Ristolainen, Rasmus",RD,21,ELC,RFA,"$925,000",82,202,9,32,41,25:16:00,"$4,579","$102,777","$28,906","$22,560",$446
28,"Rieder, Tobias","RW, LW",22,ELC,RFA,"$853,333",82,189,14,23,37,17:18,"$4,514","$60,952","$37,101","$23,063",$601
29,"Wennberg, Alexander",C,21,ELC,RFA,"$925,000",69,97,8,32,40,15:51,"$9,536","$115,625","$28,906","$23,125",$845
30,"Lindberg, Oscar","LW, C",24,Stnd,RFA,"$650,000",68,114,13,15,28,12:10,"$5,701","$50,000","$43,333","$23,214",$785
