Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Matt Moulson,20132014,"NYI,BUF,MIN",L,L,75,23,28,51,2,34,0.68,14,32,9,19,0,0,1,5,176,13.1,17:58,22.2
Reilly Smith,20132014,BOS,L,R,82,20,31,51,28,14,0.62,14,37,6,14,0,0,0,3,146,13.7,14:42,0
Radim Vrbata,20132014,PHX,R,R,80,20,31,51,-6,22,0.64,10,30,10,21,0,0,0,2,263,7.6,17:57,39.5
James Wisniewski,20132014,CBJ,R,D,75,7,44,51,0,61,0.68,4,23,3,28,0,0,0,1,166,4.2,22:37,--
David Legwand,20132014,"NSH,DET",L,C,83,14,37,51,-17,61,0.61,8,32,6,19,0,0,0,4,146,9.6,16:59,50.6
Brad Richards,20132014,NYR,L,C,82,20,31,51,-8,18,0.62,15,32,5,19,0,0,0,2,259,7.7,18:41,49.8
Jeff Carter,20132014,LAK,R,C,72,27,23,50,8,44,0.69,18,35,8,14,1,1,1,5,256,10.6,18:57,52.2
Henrik Sedin,20132014,VAN,L,C,70,11,39,50,3,42,0.71,7,32,4,18,0,0,0,1,97,11.3,20:40,52.3
Brandon Dubinsky,20132014,CBJ,L,C,76,16,34,50,5,98,0.66,10,36,4,10,2,4,0,2,189,8.5,18:47,52.9
Nazem Kadri,20132014,TOR,L,C,78,20,30,50,-11,67,0.64,13,32,7,18,0,0,1,2,148,13.5,17:23,45.3
Tyler Johnson,20132014,TBL,R,C,82,24,26,50,23,26,0.61,14,34,5,10,5,6,0,4,181,13.3,18:47,48.2
Nick Bonino,20132014,ANA,L,C,77,22,27,49,14,22,0.64,15,29,7,20,0,0,1,2,159,13.8,16:14,48.8
Joel Ward,20132014,WSH,R,R,82,24,25,49,7,32,0.6,16,37,6,10,2,2,0,4,133,18.1,16:04,45.2
Niklas Kronwall,20132014,DET,L,D,79,8,41,49,0,44,0.62,3,23,5,25,0,1,0,0,110,7.3,24:19,--
Tyler Bozak,20132014,TOR,R,C,58,19,30,49,2,14,0.84,13,40,5,8,1,1,1,1,90,21.1,20:57,48.7
Daniel Alfredsson,20132014,DET,R,R,68,18,31,49,2,10,0.72,14,31,4,18,0,0,2,4,151,11.9,16:56,35.7
Mike Fisher,20132014,NSH,R,C,75,20,29,49,-4,60,0.65,16,38,4,11,0,0,0,4,177,11.3,19:45,52
Brent Burns,20132014,SJS,R,D,69,22,26,48,26,34,0.7,20,37,2,11,0,0,0,3,245,9,16:49,46.6
Carl Soderberg,20132014,BOS,L,C,73,16,32,48,4,36,0.66,11,32,5,16,0,0,0,3,129,12.4,14:16,42.4
Gustav Nyquist,20132014,DET,L,C,57,28,20,48,16,10,0.84,22,39,6,9,0,0,1,6,153,18.3,16:51,55.6
Henrik Zetterberg,20132014,DET,L,C,45,16,32,48,19,20,1.07,13,31,3,17,0,0,0,1,151,10.6,20:33,53
Travis Zajac,20132014,NJD,R,C,80,18,30,48,3,28,0.6,15,33,3,15,0,0,1,3,165,10.9,20:19,54.6
Carl Soderberg,20132014,BOS,L,C,73,16,32,48,4,36,0.66,11,32,5,16,0,0,0,3,129,12.4,14:16,42.4
Mark Giordano,20132014,CGY,L,D,64,14,33,47,12,63,0.73,7,24,7,20,0,3,0,2,180,7.8,25:14,--
Shane Doan,20132014,PHX,R,R,69,23,24,47,-7,34,0.68,13,28,10,19,0,0,0,4,167,13.8,18:56,50
Mike Ribeiro,20132014,PHX,L,C,80,16,31,47,-13,52,0.59,12,32,4,15,0,0,0,3,110,14.6,18:00,43.3
Brandon Saad,20132014,CHI,L,L,78,19,28,47,20,20,0.6,16,36,3,9,0,2,0,2,159,12,16:17,41
Daniel Sedin,20132014,VAN,L,L,73,16,31,47,0,38,0.64,11,29,5,18,0,0,0,4,224,7.1,20:36,29.6
Matt Niskanen,20132014,PIT,R,D,81,10,36,46,33,51,0.57,7,31,3,15,0,0,0,6,162,6.2,21:18,--
Derick Brassard,20132014,NYR,L,C,81,18,27,45,2,46,0.56,11,27,7,18,0,0,1,4,159,11.3,15:48,48
Kevin Shattenkirk,20132014,STL,R,D,81,10,35,45,1,38,0.56,3,18,7,26,0,1,1,5,188,5.3,20:34,--
Antoine Vermette,20132014,PHX,L,C,82,24,21,45,0,46,0.55,14,29,7,13,3,3,1,4,160,15,19:13,56.4
Michael Cammalleri,20132014,CGY,L,L,63,26,19,45,-13,26,0.71,20,31,6,14,0,0,0,8,191,13.6,19:51,46.1
Mason Raymond,20132014,TOR,L,L,82,19,26,45,-6,22,0.55,12,32,6,11,1,2,0,4,178,10.7,17:21,43.8
Marcus Johansson,20132014,WSH,L,C,80,8,36,44,-21,4,0.55,2,23,6,21,0,0,0,1,107,7.5,17:32,34.7
Cody Hodgson,20132014,BUF,R,C,72,20,24,44,-26,20,0.61,11,25,9,19,0,0,0,0,182,11,18:09,46.8
Mark Streit,20132014,PHI,L,D,82,10,34,44,3,44,0.54,6,29,4,15,0,0,1,2,121,8.3,20:39,--
Joffrey Lupul,20132014,TOR,R,L,69,22,22,44,-15,44,0.64,16,32,6,12,0,0,1,1,191,11.5,18:27,43.6
Andrej Sekera,20132014,CAR,L,D,74,11,33,44,4,20,0.59,6,28,4,15,1,1,0,1,142,7.8,23:41,--
Oliver Ekman-Larsson,20132014,PHX,L,D,80,15,29,44,-4,50,0.55,7,22,8,22,0,0,1,6,199,7.5,25:54,0
Adam Henrique,20132014,NJD,L,C,77,25,18,43,3,20,0.56,15,26,7,12,3,5,0,4,137,18.3,18:03,44.3
Tomas Plekanec,20132014,MTL,L,C,81,20,23,43,11,38,0.53,14,30,3,10,3,3,0,5,199,10.1,19:47,48
Mathieu Perreault,20132014,ANA,L,L,69,18,25,43,13,36,0.62,14,34,4,9,0,0,1,1,120,15,13:52,52.7
Andrei Markov,20132014,MTL,L,D,81,7,36,43,12,34,0.53,4,21,2,21,1,1,1,1,131,5.3,25:14,--
Vladimir Tarasenko,20132014,STL,L,R,64,21,22,43,20,16,0.67,16,36,5,7,0,0,0,3,136,15.4,15:10,33.3
Tyler Ennis,20132014,BUF,L,C,80,21,22,43,-25,42,0.54,15,27,6,16,0,0,0,0,210,10,18:51,38.7
Ryan Kesler,20132014,VAN,R,C,77,25,18,43,-15,81,0.56,15,26,9,16,1,1,1,5,239,10.5,21:49,52.6
Troy Brouwer,20132014,WSH,R,R,82,25,18,43,-6,92,0.52,13,22,12,21,0,0,0,3,161,15.5,18:51,51.2
Ales Hemsky,20132014,"EDM,OTT",R,R,75,13,30,43,-15,24,0.57,11,30,2,13,0,0,0,1,138,9.4,15:58,25
Ryan Suter,20132014,MIN,L,D,82,8,35,43,15,34,0.52,5,25,3,17,0,1,0,0,150,5.3,29:25,100
Olli Jokinen,20132014,WPG,L,C,82,18,25,43,-8,62,0.52,16,35,2,8,0,0,0,1,171,10.5,17:01,46
Ryan McDonagh,20132014,NYR,L,D,77,14,29,43,11,36,0.56,9,26,2,13,3,4,1,4,177,7.9,24:49,--
Justin Williams,20132014,LAK,R,R,82,19,24,43,14,48,0.52,15,36,4,7,0,0,0,1,239,8,16:57,20
Michael Frolik,20132014,WPG,L,R,81,15,27,42,8,12,0.52,14,39,1,2,0,1,0,2,189,7.9,16:40,63.2
Jason Chimera,20132014,WSH,L,L,82,15,27,42,4,36,0.51,14,36,1,5,0,1,0,0,167,9,15:25,43.7
Teddy Purcell,20132014,TBL,R,L,81,12,30,42,-3,14,0.52,9,25,3,17,0,0,1,4,157,7.6,16:28,25
Alex Goligoski,20132014,DAL,L,D,81,6,36,42,9,28,0.52,3,27,3,15,0,0,0,0,141,4.3,24:19,0
Alexander Semin,20132014,CAR,R,R,65,22,20,42,1,42,0.65,15,29,6,12,1,1,1,3,210,10.5,19:55,10
Andrew Cogliano,20132014,ANA,L,C,82,21,21,42,13,28,0.51,18,37,0,0,3,5,0,5,157,13.4,15:24,40.7
Marek Zidlicky,20132014,NJD,R,D,81,12,30,42,-3,60,0.52,4,22,8,18,0,2,1,2,128,9.4,21:39,--
Mikael Granlund,20132014,MIN,L,C,63,8,33,41,-3,22,0.65,6,29,2,12,0,0,0,2,104,7.7,17:19,52.6
Johan Franzen,20132014,DET,L,R,54,16,25,41,6,40,0.76,9,24,7,17,0,0,0,4,149,10.7,17:39,52.9
Evander Kane,20132014,WPG,L,L,63,19,22,41,-7,66,0.65,16,34,1,5,2,2,0,4,250,7.6,20:17,42.9
Brendan Gallagher,20132014,MTL,R,R,81,19,22,41,4,73,0.51,11,32,8,9,0,0,0,0,211,9,15:58,36.7
Mike Richards,20132014,LAK,L,C,82,11,30,41,-6,28,0.5,6,27,4,12,1,2,0,3,157,7,16:59,53.9
Brayden Schenn,20132014,PHI,L,C,82,20,21,41,0,54,0.5,16,32,4,9,0,0,1,6,178,11.2,15:45,43.2
Brent Seabrook,20132014,CHI,R,D,82,7,34,41,23,22,0.5,3,31,3,9,1,1,0,0,149,4.7,22:16,--
Alex Killorn,20132014,TBL,L,L,82,17,24,41,8,63,0.5,14,33,3,8,0,0,1,2,173,9.8,16:47,43
Martin Hanzal,20132014,PHX,L,C,65,15,25,40,-9,73,0.62,10,27,5,13,0,0,0,2,169,8.9,18:41,54.5
Zdeno Chara,20132014,BOS,L,D,77,17,23,40,25,66,0.52,7,24,10,15,0,1,0,3,168,10.1,24:39,--
Steven Stamkos,20132014,TBL,R,C,37,25,15,40,9,18,1.08,15,26,9,13,1,1,1,5,124,20.2,20:15,49.2
Torey Krug,20132014,BOS,L,D,79,14,26,40,18,28,0.51,8,21,6,19,0,0,1,2,183,7.7,17:31,50
Matt Read,20132014,PHI,R,R,75,22,18,40,-4,16,0.53,18,34,0,2,4,4,0,3,151,14.6,18:48,42.9
Jordan Staal,20132014,CAR,L,C,82,15,25,40,2,34,0.49,12,26,2,10,1,4,0,2,165,9.1,18:57,54.4
Roman Josi,20132014,NSH,L,D,72,13,27,40,-2,18,0.56,10,27,3,13,0,0,0,2,168,7.7,26:25,--
Brian Gionta,20132014,MTL,R,R,81,18,22,40,1,22,0.49,16,32,2,7,0,1,1,3,184,9.8,17:51,38.3
Cam Atkinson,20132014,CBJ,R,R,79,21,19,40,-4,18,0.51,16,30,4,9,1,1,0,5,216,9.7,15:47,--
Mikael Backlund,20132014,CGY,L,C,76,18,21,39,4,32,0.51,9,24,5,11,4,4,1,3,178,10.1,18:32,47.5
Matt Cullen,20132014,NSH,L,C,77,10,29,39,4,32,0.51,9,30,1,9,0,0,0,2,134,7.5,15:30,56.7
Sean Couturier,20132014,PHI,L,C,82,13,26,39,1,45,0.48,12,31,0,3,1,5,0,2,165,7.9,19:05,47.8
Andrew Shaw,20132014,CHI,R,R,80,20,19,39,12,76,0.49,15,30,5,9,0,0,0,2,149,13.4,15:41,43.3
Erik Johnson,20132014,COL,R,D,80,9,30,39,5,61,0.49,7,25,2,14,0,0,0,2,157,5.7,23:00,--
Nick Foligno,20132014,CBJ,L,L,70,18,21,39,5,96,0.56,15,33,3,6,0,0,0,5,111,16.2,16:04,46.2
Artem Anisimov,20132014,CBJ,L,C,81,22,17,39,-2,20,0.48,17,31,3,6,2,2,0,5,162,13.6,16:36,49.3
Chris Higgins,20132014,VAN,L,L,78,17,22,39,-14,30,0.5,15,35,2,3,0,1,1,4,216,7.9,19:10,44.7
Rick Nash,20132014,NYR,L,L,65,26,13,39,10,36,0.6,20,28,4,7,2,4,0,9,258,10.1,17:01,100
Tomas Tatar,20132014,DET,L,L,73,19,20,39,12,30,0.53,17,33,2,6,0,0,0,3,158,12,14:21,50
Milan Michalek,20132014,OTT,L,L,82,17,22,39,-25,41,0.48,13,31,4,8,0,0,0,1,169,10.1,17:35,42.9
Tommy Wingels,20132014,SJS,R,C,77,16,22,38,11,35,0.49,14,30,0,5,2,3,1,7,163,9.8,16:07,35.7
Nick Bjugstad,20132014,FLA,R,C,76,16,22,38,-14,16,0.5,15,33,0,3,1,2,0,4,185,8.7,16:13,48.9
Josh Bailey,20132014,NYI,L,R,77,8,30,38,-8,26,0.49,6,28,2,10,0,0,0,1,98,8.2,15:50,49.6
Tyson Barrie,20132014,COL,R,D,64,13,25,38,17,20,0.59,9,28,4,10,0,0,3,5,101,12.9,18:33,--
Mike Green,20132014,WSH,R,D,70,9,29,38,-16,64,0.54,6,23,3,15,0,0,1,2,172,5.2,22:44,--
Jamie McGinn,20132014,COL,L,L,79,19,19,38,-3,30,0.48,14,29,5,9,0,0,1,3,167,11.4,15:47,50
John Carlson,20132014,WSH,R,D,82,10,27,37,-3,22,0.45,5,14,5,22,0,1,0,0,208,4.8,24:31,0
Pavel Datsyuk,20132014,DET,L,C,45,17,20,37,1,6,0.82,11,25,6,12,0,0,0,2,126,13.5,20:16,53.4
Sam Gagner,20132014,EDM,R,C,67,10,27,37,-29,41,0.55,9,29,1,7,0,1,0,1,143,7,18:23,46.8
Jay Bouwmeester,20132014,STL,L,D,82,4,33,37,26,20,0.45,3,26,1,11,0,0,0,0,152,2.6,24:03,75
Vincent Lecavalier,20132014,PHI,L,C,69,20,17,37,-16,44,0.54,12,24,8,13,0,0,1,3,132,15.2,15:11,44.6
Derek Roy,20132014,STL,L,C,75,9,28,37,-1,30,0.49,5,21,4,16,0,0,0,2,114,7.9,13:37,47
Drew Doughty,20132014,LAK,R,D,78,10,27,37,17,64,0.47,4,20,6,16,0,1,0,2,177,5.7,25:43,--
Scottie Upshall,20132014,FLA,L,R,76,15,22,37,1,73,0.49,13,30,1,6,1,1,0,3,161,9.3,15:55,45.1
Loui Eriksson,20132014,BOS,L,L,61,10,27,37,14,6,0.61,8,25,2,11,0,1,0,2,115,8.7,16:32,--
Chris Kreider,20132014,NYR,L,L,66,17,20,37,14,72,0.56,11,25,6,12,0,0,0,0,136,12.5,15:44,42.1
Brian Campbell,20132014,FLA,L,D,82,7,30,37,-6,20,0.45,5,23,2,12,0,2,0,2,116,6,26:57,0
Ryan Callahan,20132014,"NYR,TBL",R,R,65,17,19,36,1,24,0.55,9,23,7,12,1,1,0,3,163,10.4,18:39,40.6
Brad Boyes,20132014,FLA,R,R,78,21,15,36,-6,28,0.46,18,32,2,3,1,1,0,1,176,11.9,17:03,53.6
Benoit Pouliot,20132014,NYR,L,L,80,15,21,36,10,56,0.45,8,28,7,8,0,0,0,4,141,10.6,13:26,51.3
Cam Fowler,20132014,ANA,L,D,70,6,30,36,15,14,0.51,1,20,4,15,1,1,0,2,100,6,23:52,--
Dan Boyle,20132014,SJS,R,D,75,12,24,36,-8,32,0.48,6,18,6,18,0,0,1,1,154,7.8,21:17,--
Kris Versteeg,20132014,"FLA,CHI",R,R,81,12,24,36,0,36,0.44,11,28,1,8,0,0,0,1,157,7.6,14:28,47.1
Nino Niederreiter,20132014,MIN,L,R,81,14,22,36,12,44,0.44,12,30,2,6,0,0,1,1,143,9.8,14:06,26.9
Cody Eakin,20132014,DAL,L,C,81,16,19,35,-9,36,0.43,12,28,3,6,1,1,0,2,161,9.9,17:20,47.8
Kimmo Timonen,20132014,PHI,L,D,77,6,29,35,5,32,0.45,5,14,1,20,0,1,0,1,152,4,20:20,--
Alex Chiasson,20132014,DAL,R,R,79,13,22,35,-21,38,0.44,7,22,6,13,0,0,0,4,144,9,15:07,48.5
Mikhail Grabovski,20132014,WSH,L,C,58,13,22,35,6,26,0.6,10,27,3,8,0,0,0,1,81,16.1,15:45,54
Dustin Penner,20132014,"ANA,WSH",L,L,67,14,21,35,25,30,0.52,9,24,5,11,0,0,0,2,119,11.8,14:28,31.9
Lee Stempniak,20132014,"CGY,PIT",R,R,73,12,22,34,-16,32,0.47,10,25,0,4,2,5,0,1,178,6.7,18:28,30.3
Michael Ryder,20132014,NJD,R,R,82,18,16,34,-6,18,0.41,13,25,4,8,1,1,0,2,166,10.8,15:47,33.3
Lee Stempniak,20132014,"CGY,PIT",R,R,73,12,22,34,-16,32,0.47,10,25,0,4,2,5,0,1,178,6.7,18:28,30.3
Valeri Nichushkin,20132014,DAL,L,R,79,14,20,34,20,8,0.43,12,31,2,3,0,0,0,2,128,10.9,14:58,0
Sean Monahan,20132014,CGY,L,C,75,22,12,34,-20,8,0.45,19,27,3,7,0,0,1,2,140,15.7,15:59,46
R.J. Umberger,20132014,CBJ,L,C,74,18,16,34,-3,26,0.46,9,20,8,12,1,2,0,3,136,13.2,16:11,62.5
Slava Voynov,20132014,LAK,R,D,82,4,30,34,6,44,0.41,3,21,1,13,0,0,0,0,143,2.8,22:18,100
Michael Ryder,20132014,NJD,R,R,82,18,16,34,-6,18,0.41,13,25,4,8,1,1,0,2,166,10.8,15:47,33.3
Drew Stafford,20132014,BUF,R,R,70,16,18,34,-19,39,0.49,13,26,2,7,1,1,0,1,185,8.7,18:38,53.8
Jason Demers,20132014,SJS,R,D,75,5,29,34,14,30,0.45,4,24,1,9,0,1,0,0,105,4.8,19:29,--
