Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Sidney Crosby,20132014,PIT,L,C,80,36,68,104,18,46,1.3,25,66,11,38,0,0,1,5,259,13.9,21:58,52.5
Ryan Getzlaf,20132014,ANA,R,C,77,31,56,87,28,31,1.13,26,64,5,23,0,0,1,7,204,15.2,21:17,49
Claude Giroux,20132014,PHI,R,C,82,28,58,86,7,46,1.05,21,49,7,37,0,0,1,7,223,12.6,20:26,52.9
Tyler Seguin,20132014,DAL,R,C,80,37,47,84,16,18,1.05,26,59,11,25,0,0,0,8,294,12.6,19:21,41.5
Corey Perry,20132014,ANA,R,R,81,43,39,82,32,65,1.01,35,64,8,18,0,0,1,9,280,15.4,19:29,36
Phil Kessel,20132014,TOR,R,R,82,37,43,80,-5,27,0.98,29,60,8,20,0,0,0,6,305,12.1,20:40,14.3
Taylor Hall,20132014,EDM,L,L,75,27,53,80,-15,44,1.07,20,62,7,17,0,1,1,1,250,10.8,20:01,45.7
Jamie Benn,20132014,DAL,L,L,81,34,45,79,21,64,0.98,28,57,5,19,1,3,1,3,279,12.2,19:09,52.8
Alex Ovechkin,20132014,WSH,R,L,78,51,28,79,-35,48,1.01,27,39,24,39,0,1,3,10,386,13.2,20:33,66.7
Nicklas Backstrom,20132014,WSH,L,C,82,18,61,79,-20,54,0.96,11,34,6,44,1,1,0,1,196,9.2,19:48,50.5
Joe Pavelski,20132014,SJS,R,C,82,41,38,79,23,32,0.96,24,46,16,31,1,2,0,3,225,18.2,19:51,56
Patrick Sharp,20132014,CHI,R,L,82,34,44,78,13,40,0.95,24,53,10,25,0,0,1,3,313,10.9,18:53,54.6
Joe Thornton,20132014,SJS,L,C,82,11,65,76,20,32,0.93,9,56,2,19,0,1,1,3,122,9,18:56,56.1
Erik Karlsson,20132014,OTT,R,D,82,20,54,74,-15,36,0.9,15,43,5,31,0,0,0,1,257,7.8,27:04,--
Evgeni Malkin,20132014,PIT,L,C,60,23,49,72,10,62,1.2,16,42,7,30,0,0,0,3,191,12,20:04,48.8
Matt Duchene,20132014,COL,L,C,71,23,47,70,8,19,0.99,18,53,5,17,0,0,1,6,217,10.6,18:30,50.3
Patrick Marleau,20132014,SJS,L,C,82,33,37,70,0,18,0.85,20,45,11,23,2,2,0,4,285,11.6,20:31,52.9
Anze Kopitar,20132014,LAK,L,C,82,29,41,70,34,24,0.85,19,47,10,23,0,0,2,9,200,14.5,20:53,53.3
David Krejci,20132014,BOS,R,C,80,19,50,69,39,28,0.86,16,50,3,19,0,0,1,6,169,11.2,19:07,51.2
Patrick Kane,20132014,CHI,L,R,69,29,40,69,7,22,1,19,44,10,25,0,0,0,6,227,12.8,19:37,50
Martin St. Louis,20132014,"TBL,NYR",L,R,81,30,39,69,13,10,0.85,20,46,9,21,1,2,1,5,204,14.7,20:56,40.7
Blake Wheeler,20132014,WPG,R,R,82,28,41,69,4,63,0.84,20,50,8,19,0,0,2,4,225,12.4,18:41,37.5
Kyle Okposo,20132014,NYI,R,R,71,27,42,69,-9,51,0.97,22,54,5,15,0,0,1,4,195,13.9,20:26,47.6
Chris Kunitz,20132014,PIT,L,L,78,35,33,68,25,66,0.87,22,46,13,22,0,0,0,8,218,16.1,19:09,75
Jonathan Toews,20132014,CHI,L,C,76,28,40,68,26,34,0.89,20,48,5,15,3,5,0,5,193,14.5,20:28,57.3
Thomas Vanek,20132014,"BUF,NYI,MTL",R,L,78,27,41,68,7,48,0.87,19,50,8,18,0,0,0,4,248,10.9,19:21,43.5
Jaromir Jagr,20132014,NJD,L,R,82,24,43,67,16,46,0.82,19,50,5,17,0,0,1,6,231,10.4,19:10,0
Jason Spezza,20132014,OTT,R,C,75,23,43,66,-26,46,0.88,14,44,9,22,0,0,0,5,223,10.3,18:13,54
John Tavares,20132014,NYI,L,C,59,24,42,66,-6,40,1.12,16,41,8,25,0,0,0,4,188,12.8,21:15,49.1
Gabriel Landeskog,20132014,COL,L,L,81,26,39,65,21,71,0.8,21,55,5,10,0,0,1,4,222,11.7,18:41,72.2
Jordan Eberle,20132014,EDM,R,R,80,28,37,65,-11,18,0.81,20,44,7,20,1,1,1,4,200,14,19:33,38.1
Ryan O'Reilly,20132014,COL,L,C,80,28,36,64,-1,2,0.8,19,42,9,22,0,0,2,6,201,13.9,19:49,51.8
Bryan Little,20132014,WPG,R,C,82,23,41,64,8,58,0.78,13,45,8,15,2,4,0,1,170,13.5,20:00,47.5
Nathan MacKinnon,20132014,COL,R,C,82,24,39,63,20,26,0.77,16,46,8,17,0,0,0,5,241,10,17:21,42.9
Ryan Johansen,20132014,CBJ,R,C,82,33,30,63,3,43,0.77,26,43,7,20,0,0,2,5,237,13.9,17:39,52.8
Patrice Bergeron,20132014,BOS,R,C,80,30,32,62,38,43,0.78,22,47,7,11,1,4,0,7,243,12.4,17:59,58.6
Jakub Voracek,20132014,PHI,L,R,82,23,39,62,11,22,0.76,15,39,8,23,0,0,0,2,235,9.8,17:15,66.7
Alexander Steen,20132014,STL,L,L,68,33,29,62,17,46,0.91,25,42,7,17,1,3,0,9,211,15.6,20:17,49
Duncan Keith,20132014,CHI,L,D,79,6,55,61,22,28,0.77,3,39,3,21,0,1,0,3,198,3,24:39,--
James van Riemsdyk,20132014,TOR,L,L,80,30,31,61,-9,50,0.76,19,42,9,15,2,4,0,3,279,10.8,21:03,40.7
Eric Staal,20132014,CAR,L,C,79,21,40,61,-13,74,0.77,18,45,1,12,2,4,0,0,230,9.1,20:17,52.7
Jarome Iginla,20132014,BOS,R,R,78,30,31,61,34,47,0.78,26,47,4,14,0,0,0,8,209,14.4,18:13,21.6
James Neal,20132014,PIT,L,L,59,27,34,61,15,55,1.03,16,35,11,26,0,0,3,4,238,11.3,18:27,27.8
Marian Hossa,20132014,CHI,L,R,72,30,30,60,28,20,0.83,23,43,4,13,3,4,0,4,241,12.5,18:16,33.3
Wayne Simmonds,20132014,PHI,R,R,82,29,31,60,-4,106,0.73,14,36,15,24,0,0,0,4,209,13.9,16:46,50
Jason Pominville,20132014,MIN,R,R,82,30,30,60,3,16,0.73,23,43,7,17,0,0,0,5,226,13.3,18:35,54.7
Paul Stastny,20132014,COL,L,C,71,25,35,60,9,22,0.85,21,44,4,15,0,1,1,4,150,16.7,18:24,54.1
T.J. Oshie,20132014,STL,R,R,79,21,39,60,19,42,0.76,14,42,5,15,2,3,1,5,152,13.8,18:59,42.4
Max Pacioretty,20132014,MTL,L,L,73,39,21,60,8,35,0.82,28,42,10,17,1,1,2,11,270,14.4,18:29,60
Ondrej Palat,20132014,TBL,L,L,81,23,36,59,32,20,0.73,18,44,3,11,2,4,0,3,165,13.9,18:02,13.5
Mats Zuccarello,20132014,NYR,L,R,77,19,40,59,11,32,0.77,14,41,4,17,1,1,0,4,170,11.2,17:08,37.5
Milan Lucic,20132014,BOS,L,L,80,24,35,59,30,91,0.74,21,47,3,12,0,0,1,5,153,15.7,17:23,46.6
Frans Nielsen,20132014,NYI,L,C,80,25,33,58,-11,8,0.73,18,35,5,20,2,3,0,0,167,15,18:20,49.3
Valtteri Filppula,20132014,TBL,L,C,75,25,33,58,5,20,0.77,19,38,6,20,0,0,0,2,131,19.1,19:59,52.3
Kyle Turris,20132014,OTT,R,C,82,26,32,58,22,39,0.71,18,41,6,14,2,3,0,5,215,12.1,18:44,50.7
David Perron,20132014,EDM,R,L,78,28,29,57,-16,90,0.73,19,43,8,13,1,1,0,2,220,12.7,19:08,33.3
Derek Stepan,20132014,NYR,R,C,82,17,40,57,12,18,0.7,12,36,5,18,0,3,0,2,199,8.5,18:03,45.2
Jussi Jokinen,20132014,PIT,L,L,81,21,36,57,12,18,0.7,15,36,6,21,0,0,0,4,172,12.2,15:42,53.5
David Backes,20132014,STL,R,R,74,27,30,57,14,119,0.77,17,41,10,16,0,0,1,5,165,16.4,19:33,51.7
Dustin Byfuglien,20132014,WPG,R,D,78,20,36,56,-20,86,0.72,12,30,8,26,0,0,1,1,256,7.8,23:05,0
Ryan Nugent-Hopkins,20132014,EDM,L,C,80,19,37,56,-12,26,0.7,13,36,6,20,0,0,1,4,178,10.7,20:24,42.4
Zach Parise,20132014,MIN,L,L,67,29,27,56,10,30,0.84,14,35,14,20,1,1,0,5,245,11.8,20:26,41.7
Jaden Schwartz,20132014,STL,L,L,80,25,31,56,28,27,0.7,17,43,5,10,3,3,0,1,188,13.3,17:32,56.4
Shea Weber,20132014,NSH,R,D,79,23,33,56,-2,52,0.71,11,30,12,26,0,0,1,4,195,11.8,26:54,--
Clarke MacArthur,20132014,OTT,L,L,79,24,31,55,12,78,0.7,15,37,8,15,1,3,1,5,159,15.1,17:38,46.9
Victor Hedman,20132014,TBL,L,D,75,13,42,55,5,53,0.73,10,35,3,14,0,6,0,2,170,7.7,22:26,--
Jiri Hudler,20132014,CGY,L,R,75,17,37,54,4,16,0.72,15,41,2,13,0,0,1,1,109,15.6,18:51,18.2
Jeff Skinner,20132014,CAR,L,L,71,33,21,54,-14,22,0.76,22,34,11,20,0,0,1,6,274,12,17:12,45.1
Logan Couture,20132014,SJS,L,C,65,23,31,54,21,20,0.83,17,37,4,13,2,4,0,6,233,9.9,18:56,50.4
Andrew Ladd,20132014,WPG,L,L,78,23,31,54,8,57,0.69,19,40,4,12,0,2,0,2,189,12.2,19:44,38.7
Mikko Koivu,20132014,MIN,L,C,65,11,43,54,0,24,0.83,9,34,2,18,0,2,0,4,147,7.5,20:56,54.8
P.K. Subban,20132014,MTL,R,D,82,10,43,53,-4,81,0.65,6,30,4,23,0,0,1,1,204,4.9,24:37,--
Patrik Elias,20132014,NJD,L,C,65,18,35,53,-4,30,0.82,12,30,4,17,2,6,1,1,116,15.5,17:53,40.8
Brad Marchand,20132014,BOS,L,L,82,25,28,53,36,64,0.65,19,46,1,2,5,5,1,5,149,16.8,15:57,26.1
Keith Yandle,20132014,PHX,L,D,82,8,45,53,-23,63,0.65,5,22,3,31,0,0,1,2,241,3.3,24:09,--
Patric Hornqvist,20132014,NSH,R,R,76,22,31,53,1,28,0.7,15,36,7,17,0,0,0,6,248,8.9,16:52,0
Craig Smith,20132014,NSH,R,C,79,24,28,52,16,22,0.66,17,42,7,10,0,0,1,4,215,11.2,16:24,15.8
Scott Hartnell,20132014,PHI,L,L,78,20,32,52,11,103,0.67,11,32,9,20,0,0,0,3,207,9.7,16:53,22.2
David Desharnais,20132014,MTL,L,C,79,16,36,52,11,24,0.66,13,37,3,15,0,0,1,2,96,16.7,17:12,50.8
Alex Pietrangelo,20132014,STL,R,D,81,8,43,51,20,32,0.63,6,32,2,18,0,1,0,1,164,4.9,25:22,--
Mikkel Boedker,20132014,PHX,L,L,82,19,32,51,-9,20,0.62,14,35,5,16,0,0,0,1,166,11.5,17:25,42.9
