TEAM,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Washington,82,56,18,8,120,52,252,193,59,29-8-4,27-10-4,4-2,4-3-2003,L1
Dallas,82,50,23,9,109,48,267,230,37,28-11-2,22-12-7,2-2,8-2-2000,W2
St Louis,82,49,24,9,107,44,224,201,23,24-13-4,25-11-5,5-4,8-2-2000,L1
Pittsburgh,82,48,26,8,104,44,245,203,42,26-11-4,22-15-4,4-4,8-2-2000,L1
Chicago,82,47,26,9,103,46,235,209,26,26-11-4,21-15-5,1-2,5-2-2003,OT2
Anaheim,82,46,25,11,103,43,218,192,26,25-10-6,21-15-5,3-4,6-2-2002,W2
Florida,82,47,26,9,103,40,239,203,36,25-11-5,22-15-4,7-3,7-3-2000,W1
Los Angeles,82,48,28,6,102,46,225,195,30,26-12-3,22-16-3,2-3,4-5-2001,OT1
NY Rangers,82,46,27,9,101,43,236,217,19,27-10-4,19-17-5,3-2,6-3-2001,W1
NY Islanders,82,45,27,10,100,40,232,216,16,25-11-5,20-16-5,5-5,6-3-2001,L1
San Jose,82,46,30,6,98,42,241,210,31,18-20-3,28-10-3,4-3,5-5-2000,W1
Tampa Bay,82,46,31,5,97,43,227,201,26,25-13-3,21-18-2,3-3,5-5-2000,L1
Philadelphia,82,41,27,14,96,38,214,218,-4,23-10-8,18-17-6,3-8,6-3-2001,W2
Nashville,82,41,27,14,96,37,228,215,13,23-11-7,18-16-7,4-2,5-4-2001,L1
Detroit,82,41,30,11,93,39,211,224,-13,22-13-6,19-17-5,2-5,5-5-2000,L2
  Boston,82,42,31,9,93,38,240,230,10,17-18-6,25-13-3,4-2,3-6-2001,L1
Minnesota,82,38,33,11,87,35,216,206,10,21-16-4,17-17-7,3-2,5-5-2000,L5
Carolina,82,35,31,16,86,33,198,226,-28,19-15-7,16-16-9,2-5,4-4-2002,L2
 Ottawa,82,38,35,9,85,32,236,247,-11,21-14-6,17-21-3,6-6,5-4-2001,W2
  New Jersey,82,38,36,8,84,36,184,208,-24,19-17-5,19-19-3,2-6,4-5-2001,W1
Colorado,82,39,39,4,82,35,216,240,-24,17-20-4,22-19-0,4-0,2-8-2000,L6
Montréal,82,38,38,6,82,33,221,236,-15,22-16-3,16-22-3,5-3,5-5-2000,W2
Buffalo,82,35,36,11,81,33,201,222,-21,16-19-6,19-17-5,2-7,6-3-2001,W1
 Arizona,82,35,39,8,78,34,209,245,-36,22-15-4,13-24-4,1-1,4-5-2001,L1
Winnipeg,82,35,39,8,78,32,215,239,-24,18-19-4,17-20-4,3-3,6-2-2002,W4
Calgary,82,35,40,7,77,33,231,260,-29,21-16-4,14-24-3,2-3,4-5-2001,W2
Columbus,82,34,40,8,76,28,219,252,-33,18-17-6,16-23-2,6-4,5-5-2000,W3
Vancouver,82,31,38,13,75,26,191,243,-52,15-21-5,16-17-8,5-4,4-5-2001,W1
Edmonton,82,31,43,8,70,27,203,245,-42,19-20-2,12-23-2006,4-3,4-5-2001,OT1
Toronto,82,29,42,11,69,23,198,246,-48,14-18-9,15-24-2,6-6,3-7-2000,L1
