#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
584,"Peeke, Andrew",RD,22,CBJ,ELC,RFA,"$916,667",11,5,0,3,3,17:09,"$183,333",∞,"$305,555","$305,555","$4,859"
585,"Zucker, Jason","LW, RW",28,PIT,Stnd,UFA,"$5,500,000",38,67,9,9,18,15:41,"$82,089","$611,111","$611,111","$305,555","$9,228"
586,"Foote, Cal",RD,22,TBL,ELC,RFA,"$925,000",35,40,1,2,3,12:53,"$23,125","$925,000","$462,500","$308,333","$2,051"
587,"Johnsson, Andreas","LW, RW",26,NJD,Stnd,UFA,"$3,400,000",50,65,5,6,11,13:56,"$52,307","$680,000","$566,666","$309,090","$4,880"
588,"Miller, Kevan",RD,33,BOS,Stnd,UFA,"$1,250,000",28,27,1,3,4,19:03,"$46,296","$1,250,000","$416,666","$312,500","$2,343"
589,"Ryan, Derek","RW, C",34,CGY,Stnd,UFA,"$3,125,000",41,36,2,8,10,11:47,"$86,805","$1,562,500","$390,625","$312,500","$6,468"
590,"McNabb, Brayden",LD,29,VGK,Stnd,UFA,"$2,500,000",41,39,2,6,8,19:17,"$64,102","$1,250,000","$416,666","$312,500","$3,162"
591,"Wallmark, Lucas",C,25,FLA,Stnd,RFA,"$950,000",20,11,0,3,3,11:23,"$86,363",∞,"$316,666","$316,666","$4,172"
592,"Clutterbuck, Cal",RW,33,NYI,Stnd,UFA,"$3,500,000",50,50,4,7,11,13:26,"$70,000","$875,000","$500,000","$318,181","$5,210"
593,"Hägg, Robert",LD,25,PHI,Stnd,UFA,"$1,600,000",34,29,2,3,5,15:39,"$55,172","$800,000","$533,333","$320,000","$3,006"
594,"Johansson, Marcus","C, LW, RW",30,MIN,Stnd,UFA,"$4,500,000",36,46,6,8,14,15:56,"$97,826","$750,000","$562,500","$321,428","$7,845"
595,"Eakin, Cody",C,29,BUF,Stnd,UFA,"$2,250,000",46,39,3,4,7,12:56,"$57,692","$750,000","$562,500","$321,428","$3,781"
596,"Miller, Colin",RD,28,BUF,Stnd,UFA,"$3,875,000",48,64,4,8,12,18:00,"$60,546","$968,750","$484,375","$322,916","$4,484"
597,"Doughty, Drew",RD,31,LAK,Stnd,UFA,"$11,000,000",56,101,8,26,34,26:22:00,"$108,910","$1,375,000","$423,076","$323,529","$7,449"
598,"Fleury, Haydn",LD/RD,24,ANA,Stnd,RFA,"$1,300,000",47,62,3,1,4,15:23,"$20,967","$433,333","$1,300,000","$325,000","$1,798"
599,"Silfverberg, Jakob","RW, LW",30,ANA,Stnd,UFA,"$5,250,000",47,91,8,8,16,16:56,"$57,692","$656,250","$656,250","$328,125","$6,596"
600,"Coyle, Charlie","C, RW",28,BOS,Stnd,UFA,"$5,250,000",51,79,6,10,16,16:17,"$66,455","$875,000","$525,000","$328,125","$6,321"
601,"Murray, Ryan",LD,27,NJD,Stnd,UFA,"$4,600,000",48,29,0,14,14,18:36,"$158,620",∞,"$328,571","$328,571","$5,152"
602,"Turris, Kyle",C,31,EDM,Stnd,UFA,"$1,650,000",27,27,2,3,5,12:19,"$61,111","$825,000","$550,000","$330,000","$4,961"
603,"Kukan, Dean",RD,27,CBJ,Stnd,UFA,"$1,650,000",35,29,1,4,5,14:11,"$56,896","$1,650,000","$412,500","$330,000","$3,323"
604,"Hanifin, Noah",LD,23,CGY,Stnd,UFA,"$4,950,000",47,89,4,11,15,20:00,"$55,617","$1,237,500","$449,999","$330,000","$5,265"
605,"Vatanen, Sami",LD/RD,29,DAL,Stnd,UFA,"$2,000,000",39,55,2,4,6,17:01,"$36,363","$1,000,000","$500,000","$333,333","$3,013"
606,"Myers, Tyler",RD,30,VAN,Stnd,UFA,"$6,000,000",53,105,5,13,18,22:05,"$57,142","$1,200,000","$461,538","$333,333","$5,126"
607,"DeMelo, Dylan",RD,27,WPG,Stnd,UFA,"$3,000,000",52,44,0,9,9,16:58,"$68,181",∞,"$333,333","$333,333","$3,400"
608,"Malkin, Evgeni",C,34,PIT,Stnd,UFA,"$9,500,000",33,72,8,20,28,17:44,"$131,944","$1,187,500","$475,000","$339,285","$16,233"
609,"Butcher, Will",LD,25,NJD,Stnd,UFA,"$3,733,333",23,37,1,10,11,19:01,"$100,900","$3,733,333","$373,333","$339,393","$8,535"
610,"Ekblad, Aaron",RD,24,FLA,Stnd,UFA,"$7,500,000",35,101,11,11,22,25:05:00,"$74,257","$681,818","$681,818","$340,909","$8,542"
611,"Ekman-Larsson, Oliver",LD,29,ARI,Stnd,UFA,"$8,250,000",46,83,3,21,24,20:58,"$99,397","$2,750,000","$392,857","$343,750","$8,553"
612,"Ellis, Ryan",RD,29,NSH,Stnd,UFA,"$6,250,000",35,75,5,13,18,23:46,"$83,333","$1,250,000","$480,769","$347,222","$7,513"
613,"Prosser, Nate",RD,34,PHI,Stnd,UFA,"$700,000",6,5,1,1,2,13:03,"$140,000","$700,000","$700,000","$350,000","$8,939"
614,"Sgarbossa, Michael",C,28,WSH,Stnd,UFA,"$700,000",5,4,0,2,2,9:47,"$175,000",∞,"$350,000","$350,000","$14,310"
615,"Ruhwedel, Chad",RD,30,PIT,Stnd,UFA,"$700,000",17,16,0,2,2,14:41,"$43,750",∞,"$350,000","$350,000","$2,804"
616,"Irwin, Matt",LD/RD,33,BUF,Stnd,UFA,"$700,000",24,27,0,2,2,16:15,"$25,925",∞,"$350,000","$350,000","$1,794"
617,"Russell, Patrick",RW,27,EDM,Stnd,UFA,"$700,000",8,12,0,2,2,10:38,"$58,333",∞,"$350,000","$350,000","$8,228"
618,"Borgman, Andreas",LD,25,TBL,Stnd,UFA,"$700,000",7,7,0,2,2,11:57,"$100,000",∞,"$350,000","$350,000","$8,368"
619,"Rau, Kyle","LW, C",28,MIN,Stnd,UFA,"$700,000",14,15,0,2,2,9:33,"$46,666",∞,"$350,000","$350,000","$5,235"
620,"Reaves, Ryan",RW,33,VGK,Stnd,UFA,"$1,750,000",37,26,1,4,5,9:55,"$67,307","$1,750,000","$437,500","$350,000","$4,769"
621,"Megna, Jayson",RW,30,COL,Stnd,UFA,"$700,000",7,12,0,2,2,10:15,"$58,333",∞,"$350,000","$350,000","$9,756"
622,"Slavin, Jaccob",LD,26,CAR,Stnd,UFA,"$5,300,000",52,101,3,12,15,22:58,"$52,475","$1,766,666","$441,666","$353,333","$4,437"
623,"Brodie, TJ",RD,30,TOR,Stnd,UFA,"$5,000,000",56,48,1,13,14,21:33,"$104,166","$5,000,000","$384,615","$357,142","$4,143"
624,"Teräväinen, Teuvo","RW, LW",26,CAR,Stnd,UFA,"$5,400,000",21,49,5,10,15,16:26,"$110,204","$1,080,000","$540,000","$359,999","$15,647"
625,"Lagesson, William",LD,24,EDM,Stnd,RFA,"$725,000",19,11,0,2,2,14:09,"$65,909",∞,"$362,500","$362,500","$2,696"
626,"Kuhlman, Karson","RW, C",25,BOS,Stnd,RFA,"$725,000",20,31,2,0,2,10:38,"$23,387","$362,500",∞,"$362,500","$3,409"
627,"Walman, Jake",LD,24,STL,Stnd,RFA,"$725,000",24,47,1,1,2,14:27,"$15,425","$725,000","$725,000","$362,500","$2,090"
628,"L'Esperance, Joel","C, RW",25,DAL,Stnd,RFA,"$725,000",12,8,2,0,2,9:25,"$90,625","$362,500",∞,"$362,500","$6,415"
629,"Lindell, Esa",LD,26,DAL,Stnd,UFA,"$5,800,000",56,100,5,11,16,23:10,"$58,000","$1,160,000","$527,272","$362,500","$4,470"
630,"Harkins, Jansen","LW, C",23,WPG,Stnd,RFA,"$725,000",26,16,1,1,2,8:23,"$45,312","$725,000","$725,000","$362,500","$3,326"
631,"Johansen, Ryan","C, RW",28,NSH,Stnd,UFA,"$8,000,000",48,67,7,15,22,16:56,"$119,402","$1,142,857","$533,333","$363,636","$9,842"
632,"Scandella, Marco",LD,30,STL,Stnd,UFA,"$3,275,000",49,55,3,6,9,19:56,"$59,545","$1,091,666","$545,833","$363,888","$3,353"
633,"Sutter, Brandon","RW, C",31,VAN,Stnd,UFA,"$4,375,000",43,65,9,3,12,15:04,"$67,307","$486,111","$1,458,333","$364,583","$6,752"
634,"Lee, Anders","LW, C",30,NYI,Stnd,UFA,"$7,000,000",27,80,12,7,19,17:31,"$87,500","$583,333","$1,000,000","$368,421","$14,800"
635,"Keith, Duncan",LD,37,CHI,Stnd,UFA,"$5,538,462",54,110,4,11,15,23:24,"$50,349","$1,384,615","$503,496","$369,230","$4,383"
636,"Simek, Radim",LD,28,SJS,Stnd,UFA,"$2,250,000",40,26,2,4,6,14:12,"$86,538","$1,125,000","$562,500","$375,000","$3,961"
637,"Kellman, Joel",C,26,SJS,Stnd,UFA,"$750,000",7,13,1,1,2,10:40,"$57,692","$750,000","$750,000","$375,000","$10,044"
638,"Komarov, Leo","RW, LW, C",33,NYI,Stnd,UFA,"$3,000,000",33,27,1,7,8,12:49,"$111,111","$3,000,000","$428,571","$375,000","$7,093"
639,"Sikura, Dylan","LW, RW, C",25,VGK,Stnd,UFA,"$750,000",6,8,2,0,2,10:14,"$93,750","$375,000",∞,"$375,000","$12,214"
640,"Pietrangelo, Alex",RD,30,VGK,Stnd,UFA,"$8,800,000",41,126,7,16,23,24:25:00,"$69,841","$1,257,142","$550,000","$382,608","$8,790"
641,"Studenic, Marian",RW,22,NJD,ELC,RFA,"$775,833",8,7,1,1,2,10:46,"$110,833","$775,833","$775,833","$387,916","$9,007"
642,"Chmelevski, Alexander",C,21,SJS,ELC,RFA,"$778,333",5,8,0,2,2,9:45,"$97,291",∞,"$389,166","$389,166","$15,965"
643,"Nash, Riley","C, RW",31,TOR,Stnd,UFA,"$2,750,000",37,40,2,5,7,12:35,"$68,750","$1,375,000","$550,000","$392,857","$5,906"
644,"Schmidt, Nate",LD/RD,29,VAN,Stnd,UFA,"$5,950,000",52,74,5,10,15,20:08,"$80,405","$1,190,000","$595,000","$396,666","$5,683"
645,"Suter, Ryan",LD,35,MIN,Stnd,UFA,"$7,538,461",56,86,3,16,19,22:11,"$87,656","$2,512,820","$471,153","$396,761","$6,068"
646,"Bahl, Kevin",LD,20,NJD,ELC,RFA,"$795,000",7,5,0,2,2,16:55,"$159,000",∞,"$397,500","$397,500","$6,713"
647,"Zadorov, Nikita",LD/RD,25,CHI,Stnd,RFA,"$3,200,000",55,52,1,7,8,19:12,"$61,538","$3,200,000","$457,142","$400,000","$3,030"
648,"Entwistle, Mackenzie",C,21,CHI,ELC,RFA,"$811,667",5,6,1,1,2,9:49,"$135,277","$811,667","$811,667","$405,833","$16,536"
649,"Tanev, Christopher",RD,31,CGY,Stnd,UFA,"$4,500,000",54,65,2,9,11,21:45,"$69,230","$2,250,000","$500,000","$409,090","$3,831"
650,"MacEwen, Zack","C, RW",24,VAN,Stnd,RFA,"$825,000",34,31,1,1,2,8:38,"$26,612","$825,000","$825,000","$412,500","$2,810"
651,"Hirose, Taro",LW,24,DET,Stnd,UFA,"$825,000",6,10,0,2,2,14:22,"$82,500",∞,"$412,500","$412,500","$9,570"
652,"Weber, Shea",RD,35,MTL,Stnd,UFA,"$7,857,143",48,104,6,13,19,22:42,"$75,549","$1,309,523","$604,395","$413,533","$7,211"
653,"DeKeyser, Danny",LD,30,DET,Stnd,UFA,"$5,000,000",47,43,4,8,12,18:05,"$116,279","$1,250,000","$625,000","$416,666","$5,882"
654,"Larsson, Adam",RD,28,EDM,Stnd,UFA,"$4,166,666",56,52,4,6,10,19:38,"$80,128","$1,041,666","$694,444","$416,666","$3,789"
655,"Parise, Zach",LW,36,MIN,Stnd,UFA,"$7,538,461",45,90,7,11,18,13:56,"$83,760","$1,076,923","$685,314","$418,803","$12,023"
656,"Smith, Brendan","LD/RD, LW",31,NYR,Stnd,UFA,"$4,350,000",48,58,5,5,10,16:26,"$75,000","$870,000","$870,000","$435,000","$5,514"
657,"Pitlick, Rem",C,23,NSH,Stnd,RFA,"$874,125",10,11,0,2,2,11:18,"$79,465",∞,"$437,062","$437,062","$7,735"
658,"Russell, Kris",LD/RD,33,EDM,Stnd,UFA,"$4,000,000",35,41,0,9,9,18:23,"$97,560",∞,"$444,444","$444,444","$6,216"
659,"Foote, Nolan",LW,20,NJD,ELC,RFA,"$894,167",6,5,1,1,2,9:41,"$178,833","$894,167","$894,167","$447,083","$15,390"
660,"Vaakanainen, Urho",LD,21,BOS,ELC,RFA,"$894,167",9,15,0,2,2,18:55,"$59,611",∞,"$447,083","$447,083","$5,252"
661,"Byram, Bowen",LD,19,COL,ELC,RFA,"$894,167",19,21,0,2,2,17:30,"$42,579",∞,"$447,083","$447,083","$2,689"
662,"Pettersson, Marcus",LD,24,PIT,Stnd,UFA,"$4,025,175",47,46,2,7,9,16:29,"$87,503","$2,012,587","$575,025","$447,241","$5,195"
663,"MacEachern, Mackenzie","LW, RW",26,STL,Stnd,UFA,"$900,000",21,25,1,1,2,9:42,"$36,000","$900,000","$900,000","$450,000","$4,418"
664,"De Haan, Calvin",LD/RD,29,CHI,Stnd,UFA,"$4,550,000",44,58,1,9,10,18:37,"$78,448","$4,550,000","$505,555","$454,999","$5,554"
665,"Parayko, Colton",RD,27,STL,Stnd,UFA,"$5,500,000",32,60,2,10,12,21:19,"$91,666","$2,750,000","$550,000","$458,333","$8,062"
666,"Okposo, Kyle",RW,32,BUF,Stnd,UFA,"$6,000,000",35,45,2,11,13,13:52,"$133,333","$3,000,000","$545,454","$461,538","$12,362"
667,"Gardner, Rhett","C, LW",24,DAL,ELC,RFA,"$925,000",28,23,1,1,2,9:57,"$40,217","$924,999","$924,999","$462,499","$3,320"
668,"Rathbone, Jack",LD,21,VAN,ELC,RFA,"$925,000",6,14,1,1,2,14:31,"$66,071","$925,000","$925,000","$462,500","$10,619"
669,"Heponiemi, Aleksi",C,21,FLA,ELC,RFA,"$925,000",9,15,1,1,2,12:14,"$61,666","$925,000","$925,000","$462,500","$8,401"
670,"Samuelsson, Mattias",LD,20,BUF,ELC,RFA,"$925,000",12,10,0,2,2,18:01,"$92,500",∞,"$462,500","$462,500","$4,278"
671,"Bromé, Mathias","LW, RW",26,DET,ELC,RFA,"$925,000",26,22,1,1,2,13:38,"$42,045","$925,000","$925,000","$462,500","$2,609"
672,"Subban, P.K.",RD,31,NJD,Stnd,UFA,"$9,000,000",44,99,5,14,19,22:21,"$90,909","$1,800,000","$642,857","$473,684","$9,151"
673,"Helm, Darren","C, LW, RW",33,DET,Stnd,UFA,"$3,850,000",47,83,3,5,8,14:40,"$46,385","$1,283,333","$770,000","$481,250","$5,585"
674,"Getzlaf, Ryan",C,35,ANA,Stnd,UFA,"$8,250,000",48,70,5,12,17,16:34,"$117,857","$1,650,000","$687,500","$485,294","$10,374"
675,"Lyubushkin, Ilya",RD,26,ARI,Stnd,UFA,"$1,000,000",42,36,1,1,2,15:41,"$27,777","$1,000,000","$1,000,000","$500,000","$1,518"
676,"Bertuzzi, Tyler","LW, RW",25,DET,Stnd,RFA,"$3,500,000",9,20,5,2,7,19:36,"$175,000","$700,000","$1,750,000","$500,000","$19,841"
677,"Chiarot, Ben",LD,29,MTL,Stnd,UFA,"$3,500,000",41,81,1,6,7,21:47,"$43,209","$3,500,000","$583,333","$500,000","$3,918"
678,"Anisimov, Artem","C, LW",32,OTT,Stnd,UFA,"$4,550,000",19,30,2,7,9,12:01,"$151,666","$2,275,000","$650,000","$505,555","$19,928"
679,"Gardiner, Jake",LD,30,CAR,Stnd,UFA,"$4,050,000",26,23,0,8,8,16:02,"$176,086",∞,"$506,250","$506,250","$9,715"
680,"Virtanen, Jake","RW, LW",24,VAN,Stnd,RFA,"$2,550,000",38,50,5,0,5,12:15,"$51,000","$510,000",∞,"$510,000","$5,477"
681,"Radulov, Alexander",RW,34,DAL,Stnd,UFA,"$6,250,000",11,25,4,8,12,17:47,"$250,000","$1,562,500","$781,250","$520,833","$31,950"
682,"Karlsson, Erik",RD,30,SJS,Stnd,UFA,"$11,500,000",52,110,8,14,22,23:35,"$104,545","$1,437,500","$821,428","$522,727","$9,377"
683,"Skjei, Brady",LD,26,CAR,Stnd,UFA,"$5,250,000",52,104,3,7,10,20:43,"$50,480","$1,750,000","$750,000","$525,000","$4,873"
684,"Cole, Ian",LD/RD,31,MIN,Stnd,UFA,"$4,250,000",54,30,1,7,8,15:52,"$141,666","$4,250,000","$607,142","$531,250","$4,960"
685,"Tarasenko, Vladimir",RW,29,STL,Stnd,UFA,"$7,500,000",24,65,4,10,14,17:25,"$115,384","$1,875,000","$750,000","$535,714","$17,942"
686,"Harrington, Scott",LD,27,CBJ,Stnd,UFA,"$1,633,333",12,8,1,2,3,16:20,"$204,166","$1,633,333","$816,666","$544,444","$8,333"
687,"Eichel, Jack",C,24,BUF,Stnd,UFA,"$10,000,000",21,61,2,16,18,20:29,"$163,934","$5,000,000","$625,000","$555,555","$23,247"
688,"McDonagh, Ryan",LD,31,TBL,Stnd,UFA,"$6,750,000",50,85,4,8,12,21:53,"$79,411","$1,687,500","$843,750","$562,500","$6,169"
689,"Staal, Marc",LD,33,DET,Stnd,UFA,"$5,700,000",56,53,3,7,10,18:24,"$107,547","$1,900,000","$814,285","$570,000","$5,531"
690,"Neal, James","RW, LW",33,EDM,Stnd,UFA,"$5,750,000",29,51,5,5,10,12:06,"$112,745","$1,150,000","$1,150,000","$575,000","$16,386"
691,"Connolly, Brett","RW, LW",28,CHI,Stnd,UFA,"$3,500,000",31,26,3,3,6,12:08,"$134,615","$1,166,666","$1,166,666","$583,333","$9,305"
692,"Manson, Josh",RD,29,ANA,Stnd,UFA,"$4,100,000",23,19,1,6,7,17:58,"$215,789","$4,099,999","$683,333","$585,714","$9,921"
693,"Beagle, Jay",C,35,VAN,Stnd,UFA,"$3,000,000",30,21,1,4,5,12:31,"$142,857","$3,000,000","$750,000","$600,000","$7,989"
694,"Strålman, Anton",RD,34,FLA,Stnd,UFA,"$5,500,000",38,38,3,6,9,18:56,"$144,736","$1,833,333","$916,666","$611,111","$7,644"
695,"Duchene, Matt","C, LW",29,NSH,Stnd,UFA,"$8,000,000",34,73,6,7,13,15:49,"$109,589","$1,333,333","$1,142,857","$615,384","$14,876"
696,"Kassian, Zack",RW,29,EDM,Stnd,UFA,"$3,200,000",27,18,2,3,5,11:51,"$177,777","$1,600,000","$1,066,666","$640,000","$10,001"
697,"Skinner, Jeff","LW, RW",28,BUF,Stnd,UFA,"$9,000,000",53,111,7,7,14,14:31,"$81,081","$1,285,714","$1,285,714","$642,857","$11,697"
698,"Hischier, Nico",C,21,NJD,Stnd,UFA,"$7,250,000",21,44,6,5,11,18:31,"$164,772","$1,208,333","$1,450,000","$659,090","$18,644"
699,"Trouba, Jacob",RD,26,NYR,Stnd,UFA,"$8,000,000",38,70,2,10,12,21:29,"$114,285","$4,000,000","$800,000","$666,666","$9,799"
700,"McKegg, Greg","C, LW",28,BOS,Stnd,UFA,"$700,000",5,4,1,0,1,9:34,"$175,000","$700,000",∞,"$700,000","$14,634"
701,"Brodzinski, Jonny",C,27,NYR,Stnd,UFA,"$700,000",5,7,1,0,1,11:20,"$100,000","$700,000",∞,"$700,000","$12,352"
702,"Carr, Daniel",LW,29,WSH,Stnd,UFA,"$700,000",6,5,0,1,1,10:13,"$140,000",∞,"$700,000","$700,000","$11,419"
703,"Burroughs, Kyle",RD,25,COL,Stnd,UFA,"$700,000",5,3,0,1,1,10:04,"$233,333",∞,"$700,000","$700,000","$13,907"
704,"Jurco, Tomas","RW, LW",28,VGK,Stnd,UFA,"$700,000",8,11,0,1,1,8:57,"$63,636",∞,"$700,000","$700,000","$9,776"
705,"Peca, Matthew","LW, C",27,OTT,Stnd,UFA,"$700,000",5,3,0,1,1,8:53,"$233,333",∞,"$700,000","$700,000","$15,759"
706,"Connauton, Kevin",LD,30,FLA,Stnd,UFA,"$700,000",7,5,0,1,1,14:12,"$140,000",∞,"$700,000","$700,000","$7,042"
707,"Walker, Nathan",LW,26,STL,Stnd,UFA,"$700,000",8,10,1,0,1,13:29,"$70,000","$700,000",∞,"$700,000","$6,489"
708,"Meloche, Nicolas",RD,23,SJS,Stnd,RFA,"$700,000",7,6,0,1,1,9:35,"$116,666",∞,"$700,000","$700,000","$10,434"
709,"De La Rose, Jacob","C, LW",25,STL,Stnd,RFA,"$700,000",13,13,0,1,1,10:11,"$53,846",∞,"$700,000","$700,000","$5,287"
710,"Hunt, Brad",LD,32,MIN,Stnd,UFA,"$700,000",12,14,1,0,1,12:20,"$50,000","$700,000",∞,"$700,000","$4,729"
711,"Luff, Matt",RW,23,LAK,Stnd,RFA,"$700,000",13,18,1,0,1,10:29,"$38,888","$700,000",∞,"$700,000","$5,136"
712,"Morin, Samuel","LD, LW",25,PHI,Stnd,UFA,"$700,000",20,14,1,0,1,10:11,"$50,000","$700,000",∞,"$700,000","$3,436"
713,"Johnson, Luke",C,26,MIN,Stnd,UFA,"$700,000",14,11,1,0,1,10:06,"$63,636","$700,000",∞,"$700,000","$4,950"
714,"Blidh, Anton",LW,25,BOS,Stnd,UFA,"$700,000",10,10,1,0,1,10:46,"$70,000","$700,000",∞,"$700,000","$6,501"
715,"Chatfield, Jalen",RD,24,VAN,Stnd,UFA,"$700,000",17,11,0,1,1,13:21,"$63,636",∞,"$700,000","$700,000","$3,084"
716,"Gawdin, Glenn","C, RW",23,CGY,Stnd,RFA,"$700,000",7,1,0,1,1,6:55,"$700,000",∞,"$700,000","$700,000","$14,457"
717,"Tinordi, Jarred",LD,28,BOS,Stnd,UFA,"$700,000",21,30,0,1,1,17:05,"$23,333",∞,"$700,000","$700,000","$1,951"
718,"Savard, David",RD,30,TBL,Stnd,UFA,"$4,250,000",54,69,1,5,6,19:50,"$61,594","$4,250,000","$850,000","$708,333","$3,968"
719,"Bayreuther, Gavin",LD,26,CBJ,Stnd,UFA,"$710,000",9,16,1,0,1,15:23,"$44,375","$710,000",∞,"$710,000","$5,128"
720,"Carlo, Brandon",RD,24,BOS,Stnd,RFA,"$2,850,000",27,43,3,1,4,18:42,"$66,279","$949,999","$2,850,000","$712,500","$5,644"
721,"Froese, Byron",C,29,CGY,Stnd,UFA,"$725,000",6,2,1,0,1,8:17,"$362,500","$725,000",∞,"$725,000","$14,587"
722,"Matteau, Stefan",LW,26,CBJ,Stnd,UFA,"$725,000",18,15,1,0,1,10:49,"$48,333","$725,000",∞,"$725,000","$3,723"
723,"Sherwood, Kole","RW, C",23,CBJ,Stnd,RFA,"$735,000",6,7,0,1,1,10:21,"$105,000",∞,"$735,000","$735,000","$11,835"
724,"Strand, Austin",RD,23,LAK,Stnd,RFA,"$735,000",13,11,0,1,1,13:51,"$66,818",∞,"$735,000","$735,000","$4,082"
725,"Blichfeld, Joachim","RW, LW",22,SJS,ELC,RFA,"$736,666",5,3,1,0,1,8:41,"$245,555","$736,666",∞,"$736,666","$16,967"
726,"Bunnaman, Connor",C,22,PHI,ELC,RFA,"$736,666",18,15,0,1,1,11:33,"$49,111",∞,"$736,666","$736,666","$3,543"
727,"Stephens, Mitchell",C,23,TBL,Stnd,RFA,"$737,500",7,3,0,1,1,9:28,"$245,833",∞,"$737,500","$737,500","$11,129"
728,"Caamano, Nicholas","LW, RW",22,DAL,ELC,RFA,"$738,333",24,33,0,1,1,9:20,"$22,373",∞,"$738,333","$738,333","$3,296"
729,"Jaros, Christian",RD,24,SJS,Stnd,RFA,"$750,000",7,3,0,1,1,11:11,"$250,000",∞,"$750,000","$750,000","$9,580"
730,"Koivu, Mikko",C,37,,35+,UFA,"$1,500,000",7,3,1,1,2,12:27,"$500,000","$1,500,000","$1,500,000","$750,000","$17,211"
731,"Roussel, Antoine",LW,31,VAN,Stnd,UFA,"$3,000,000",35,28,1,3,4,11:30,"$107,142","$3,000,000","$1,000,000","$750,000","$7,453"
732,"Pateryn, Greg",RD,30,SJS,Stnd,UFA,"$2,250,000",13,13,0,3,3,14:08,"$173,076",∞,"$750,000","$750,000","$12,246"
733,"Carrick, Connor",RD,26,NJD,Stnd,UFA,"$1,500,000",11,8,1,1,2,18:40,"$187,500","$1,500,000","$1,500,000","$750,000","$7,305"
734,"Edler, Alexander",LD,34,VAN,Stnd,UFA,"$6,000,000",51,99,0,8,8,20:48,"$60,606",∞,"$750,000","$750,000","$5,656"
735,"True, Alex","C, RW",23,SJS,ELC,RFA,"$763,333",7,7,0,1,1,9:59,"$109,047",∞,"$763,333","$763,333","$10,922"
736,"Stillman, Riley",LD,22,CHI,ELC,RFA,"$773,333",21,29,1,0,1,15:22,"$26,666","$773,333",∞,"$773,333","$2,396"
737,"Poolman, Tucker",RD,27,WPG,Stnd,UFA,"$775,000",39,50,0,1,1,18:18,"$15,500",∞,"$775,000","$775,000","$1,085"
738,"Petan, Nicolas","LW, RW, C",25,TOR,Stnd,RFA,"$775,000",7,8,0,1,1,10:16,"$96,875",∞,"$775,000","$775,000","$10,783"
739,"Kylington, Oliver",LD,23,CGY,Stnd,RFA,"$787,500",8,7,0,1,1,13:04,"$112,500",∞,"$787,500","$787,500","$7,533"
740,"Händemark, Fredrik",C,27,SJS,ELC,UFA,"$792,500",8,5,1,0,1,9:27,"$158,500","$792,500",∞,"$792,500","$10,482"
741,"Joshua, Dakota",C,24,STL,ELC,RFA,"$792,500",12,9,1,0,1,8:58,"$88,055","$792,500",∞,"$792,500","$7,365"
742,"Carlsson, Lucas",LD,23,FLA,ELC,RFA,"$792,500",12,10,0,1,1,13:03,"$79,250",∞,"$792,500","$792,500","$5,060"
743,"Robertson, Nicholas",LW,19,TOR,ELC,RFA,"$821,667",6,9,0,1,1,9:25,"$91,296",∞,"$821,667","$821,667","$14,542"
744,"McLeod, Ryan",C,21,EDM,ELC,RFA,"$834,167",10,3,0,1,1,12:47,"$278,055",∞,"$834,167","$834,167","$6,525"
745,"Koekkoek, Slater",LD/RD,26,EDM,Stnd,UFA,"$850,000",18,17,1,0,1,13:09,"$50,000","$850,000",∞,"$850,000","$3,591"
746,"Coburn, Braydon",LD,35,NYI,Stnd,UFA,"$1,700,000",19,18,0,2,2,16:02,"$94,444",∞,"$850,000","$850,000","$5,580"
747,"Holden, Nick",LD,33,VGK,Stnd,UFA,"$1,700,000",17,23,0,2,2,15:50,"$73,913",∞,"$850,000","$850,000","$6,315"
748,"Kupari, Rasmus","C, LW, RW",20,LAK,ELC,RFA,"$863,333",7,8,1,0,1,11:28,"$107,916","$863,333",∞,"$863,333","$10,755"
749,"Lindholm, Hampus",LD,26,ANA,Stnd,UFA,"$5,205,556",18,29,2,4,6,22:01,"$179,501","$2,602,778","$1,301,389","$867,592","$13,135"
750,"Gunnarsson, Carl",LD,34,STL,Stnd,UFA,"$1,750,000",12,6,0,2,2,14:25,"$291,666",∞,"$875,000","$875,000","$10,115"
751,"Nielsen, Frans","C, LW",36,DET,Stnd,UFA,"$5,250,000",29,24,1,5,6,12:08,"$218,750","$5,250,000","$1,050,000","$875,000","$14,920"
752,"Veleno, Joseph",C,20,DET,ELC,RFA,"$894,167",5,8,1,0,1,15:06,"$111,770","$894,167",∞,"$894,167","$11,843"
753,"Vesalainen, Kristian","LW, RW",21,WPG,ELC,RFA,"$894,167",12,5,0,1,1,8:41,"$178,833",∞,"$894,167","$894,167","$8,581"
754,"Thompson, Tyce",RW,21,NJD,ELC,RFA,"$912,500",7,4,0,1,1,8:43,"$228,125",∞,"$912,500","$912,500","$14,954"
755,"Barron, Morgan",C,22,NYR,ELC,RFA,"$925,000",5,3,1,0,1,13:41,"$308,333","$925,000",∞,"$925,000","$13,520"
756,"Byfield, Quinton",C,18,LAK,ELC,RFA,"$925,000",6,9,0,1,1,15:00,"$102,777",∞,"$925,000","$925,000","$10,277"
757,"Davies, Jeremy",LD,24,NSH,ELC,RFA,"$925,000",16,19,0,1,1,15:02,"$48,684",∞,"$925,000","$925,000","$3,845"
