#,PLAYER,POS,AGE,TEAM,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
448,"Schenn, Luke",RD,31,TBL,Stnd,UFA,"$800,000",38,43,2,2,4,10:45,"$18,604","$400,000","$400,000","$200,000","$1,958"
449,"Benn, Jordie",LD/RD,33,WPG,Stnd,UFA,"$2,000,000",39,45,1,9,10,14:45,"$44,444","$2,000,000","$222,222","$200,000","$3,476"
450,"Smith, Reilly","RW, LW",29,VGK,Stnd,UFA,"$5,000,000",53,124,14,11,25,17:52,"$40,322","$357,142","$454,545","$200,000","$5,280"
451,"Panarin, Artemi",LW,29,NYR,Stnd,UFA,"$11,642,857",42,106,17,41,58,19:38,"$109,838","$684,873","$283,972","$200,738","$14,119"
452,"Krug, Torey",LD,29,STL,Stnd,UFA,"$6,500,000",51,111,2,30,32,22:32,"$58,558","$3,250,000","$216,666","$203,125","$5,656"
453,"Keller, Clayton","RW, LW",22,ARI,Stnd,UFA,"$7,150,000",56,124,14,21,35,16:39,"$57,661","$510,714","$340,476","$204,285","$7,668"
454,"Dillon, Brenden",LD,30,WSH,Stnd,UFA,"$3,900,000",56,51,2,17,19,18:56,"$76,470","$1,950,000","$229,411","$205,263","$3,678"
455,"Paquette, Cédric","C, LW",27,CAR,Stnd,UFA,"$1,650,000",47,33,4,4,8,9:21,"$49,999","$412,500","$412,500","$206,250","$3,754"
456,"Hájek, Libor",LD,22,NYR,ELC,RFA,"$833,333",44,33,2,2,4,15:16,"$25,252","$416,666","$416,666","$208,333","$1,240"
457,"Muzzin, Jake",LD,31,TOR,Stnd,UFA,"$5,625,000",53,103,4,23,27,21:34,"$54,611","$1,406,250","$244,565","$208,333","$4,921"
458,"Pearson, Tanner",LW,28,VAN,Stnd,UFA,"$3,750,000",50,108,10,8,18,17:02,"$34,722","$375,000","$468,750","$208,333","$4,403"
459,"Graves, Ryan",LD,25,COL,Stnd,UFA,"$3,166,667",54,101,2,13,15,19:03,"$31,353","$1,583,333","$243,589","$211,111","$3,078"
460,"Pánik, Richard","LW, RW",29,DET,Stnd,UFA,"$2,750,000",48,59,4,9,13,12:22,"$46,610","$687,500","$305,555","$211,538","$4,632"
461,"Jones, Caleb",LD,23,EDM,Stnd,RFA,"$850,000",33,23,0,4,4,13:36,"$36,956",∞,"$212,500","$212,500","$1,893"
462,"Byron, Paul","LW, RW",31,MTL,Stnd,UFA,"$3,400,000",46,44,5,11,16,12:51,"$77,272","$680,000","$309,090","$212,500","$5,751"
463,"Montour, Brandon",LD/RD,26,FLA,Stnd,UFA,"$3,850,000",50,94,7,11,18,20:29,"$40,957","$550,000","$350,000","$213,888","$3,759"
464,"Lindblom, Oskar",LW,24,PHI,Stnd,RFA,"$3,000,000",50,58,8,6,14,13:10,"$51,724","$375,000","$500,000","$214,285","$4,556"
465,"Stanley, Logan",LD,22,WPG,ELC,RFA,"$863,333",37,63,1,3,4,13:13,"$13,703","$863,333","$287,777","$215,833","$1,765"
466,"Kreider, Chris",LW,29,NYR,Stnd,UFA,"$6,500,000",50,102,20,10,30,17:23,"$63,725","$325,000","$650,000","$216,666","$7,478"
467,"Sanheim, Travis",LD,24,PHI,Stnd,RFA,"$3,250,000",55,100,3,12,15,21:53,"$32,500","$1,083,333","$270,833","$216,666","$2,700"
468,"Andersson, Rasmus",RD,24,CGY,Stnd,UFA,"$4,550,000",54,92,5,16,21,21:14,"$49,456","$909,999","$284,375","$216,666","$3,968"
