#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Stone, Mark",RW,22,ELC,RFA,"$603,333",80,157,26,38,64,17:01,"$3,842","$23,205","$15,877","$9,427",$443
2,"Kucherov, Nikita",RW,21,ELC,RFA,"$711,667",82,191,29,36,65,14:57,"$3,726","$24,540","$19,768","$10,948",$580
3,"Tarasenko, Vladimir",RW,23,ELC,RFA,"$900,000",77,264,37,36,73,17:37,"$3,409","$24,324","$25,000","$12,328",$663
4,"Forsberg, Filip",LW,20,ELC,RFA,"$894,167",82,237,26,37,63,17:19,"$3,772","$34,391","$24,166","$14,193",$629
5,"Gaudreau, Johnny",LW,21,ELC,RFA,"$925,000",80,167,24,40,64,17:43,"$5,538","$38,541","$23,125","$14,453",$652
6,"Gallagher, Brendan",RW,22,ELC,RFA,"$685,000",82,254,24,23,47,16:35,"$2,696","$28,541","$29,782","$14,574",$503
7,"Toffoli, Tyler","RW, LW",22,ELC,RFA,"$716,667",76,200,23,26,49,14:35,"$3,583","$31,159","$27,564","$14,625",$646
8,"Saad, Brandon","RW, LW",22,ELC,RFA,"$764,167",82,203,23,29,52,17:15,"$3,764","$33,224","$26,350","$14,695",$540
9,"Monahan, Sean",C,20,ELC,RFA,"$925,000",81,191,31,31,62,19:37,"$4,842","$29,838","$29,838","$14,919",$582
10,"Hoffman, Mike","RW, LW",25,Stnd,RFA,"$750,000",79,199,27,21,48,14:33,"$3,768","$27,777","$35,714","$15,625",$652
11,"Gomez, Scott",C,35,Stnd,UFA,"$550,000",58,70,7,27,34,16:30,"$7,857","$78,571","$20,370","$16,176",$574
12,"Huberdeau, Jonathan",LW,21,ELC,RFA,"$894,167",79,169,15,39,54,16:44,"$5,290","$59,611","$22,927","$16,558",$676
13,"Maroon, Patrick","LW, RW",26,Stnd,UFA,"$575,000",71,120,9,25,34,14:16,"$4,791","$63,888","$23,000","$16,911",$567
14,"Ribeiro, Mike",C,34,Stnd,UFA,"$1,050,000",82,96,15,47,62,18:44,"$10,937","$70,000","$22,340","$16,935",$683
15,"Strome, Ryan","C, RW",21,ELC,RFA,"$863,333",81,179,17,33,50,15:23,"$4,823","$50,784","$26,161","$17,266",$692
16,"Nyquist, Gustav","RW, LW",25,Stnd,RFA,"$950,000",82,195,27,27,54,16:39,"$4,871","$35,185","$35,185","$17,592",$695
17,"Scheifele, Mark",C,21,ELC,RFA,"$863,333",82,170,15,34,49,18:35,"$5,078","$57,555","$25,392","$17,619",$566
18,"Klingberg, John",RD,22,ELC,RFA,"$713,333",65,98,11,29,40,21:50,"$7,278","$64,848","$24,597","$17,833",$502
19,"Bernier, Steve",RW,29,Stnd,UFA,"$600,000",67,107,16,16,32,12:56,"$5,607","$37,500","$37,500","$18,750",$692
20,"Arcobello, Mark","C, RW",26,Stnd,UFA,"$600,000",77,129,17,14,31,14:48,"$4,651","$35,294","$42,857","$19,354",$526
