#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Benn, Jamie","LW, C",22,ELC,RFA,"$630,000",71,203,26,37,63,18:04,"$3,103","$24,230","$17,027","$10,000",$491
2,"Tavares, John",C,21,ELC,RFA,"$900,000",82,286,31,50,81,20:34,"$3,146","$29,032","$18,000","$11,111",$533
3,"Nielsen, Frans","C, LW",27,Stnd,UFA,"$525,000",82,133,17,30,47,17:27,"$3,947","$30,882","$17,500","$11,170",$366
4,"Karlsson, Erik",RD,21,ELC,RFA,"$875,000",81,261,19,59,78,25:19:00,"$3,352","$46,052","$14,830","$11,217",$426
5,"Henrique, Adam",C,21,ELC,RFA,"$575,000",74,130,16,35,51,18:09,"$4,423","$35,937","$16,428","$11,274",$428
6,"Eberle, Jordan",RW,21,ELC,RFA,"$875,000",78,180,34,42,76,17:35,"$4,861","$25,735","$20,833","$11,513",$637
7,"Couture, Logan","C, LW",22,ELC,RFA,"$816,667",80,245,31,34,65,18:33,"$3,333","$26,344","$24,019","$12,564",$550
8,"Seguin, Tyler","C, RW",19,ELC,RFA,"$900,000",81,242,29,38,67,16:56,"$3,719","$31,034","$23,684","$13,432",$656
9,"Desharnais, David",C,25,Stnd,RFA,"$850,000",81,98,16,44,60,18:23,"$8,673","$53,125","$19,318","$14,166",$570
10,"Tlusty, Jiri",C,23,Stnd,RFA,"$525,000",79,136,17,19,36,14:54,"$3,860","$30,882","$27,631","$14,583",$446
11,"Wellwood, Kyle",C,28,Stnd,UFA,"$700,000",77,93,18,29,47,14:57,"$7,526","$38,888","$24,137","$14,893",$608
12,"Kane, Evander","LW, RW",20,ELC,RFA,"$900,000",74,287,30,27,57,17:31,"$3,135","$30,000","$33,333","$15,789",$694
13,"O'Reilly, Ryan",C,20,ELC,RFA,"$880,000",81,189,18,37,55,19:31,"$4,656","$48,888","$23,783","$16,000",$556
14,"Pietrangelo, Alex",RD,21,ELC,RFA,"$816,667",81,202,12,39,51,24:43:00,"$4,042","$68,055","$20,940","$16,013",$407
15,"Stepan, Derek",C,21,ELC,RFA,"$820,833",82,169,17,34,51,18:56,"$4,857","$48,284","$24,142","$16,094",$528
16,"Hagelin, Carl",LW,23,ELC,RFA,"$637,500",64,131,14,24,38,15:02,"$4,866","$45,535","$26,562","$16,776",$662
17,"Hall, Taylor",LW,20,ELC,RFA,"$900,000",61,207,27,26,53,18:13,"$4,347","$33,333","$34,615","$16,981",$809
18,"Perreault, Mathieu","LW, RW",23,Stnd,RFA,"$525,000",64,60,16,14,30,12:01,"$8,750","$32,812","$37,500","$17,500",$682
19,"Nugent-Hopkins, Ryan","C, LW",18,ELC,RFA,"$925,000",62,134,18,34,52,17:36,"$6,902","$51,388","$27,205","$17,788",$847
20,"Landeskog, Gabriel","LW, C",19,ELC,RFA,"$925,000",82,270,22,30,52,18:36,"$3,425","$42,045","$30,833","$17,788",$606
21,"McGinn, Jamie","LW, RW",23,Stnd,RFA,"$680,000",78,159,20,17,37,13:27,"$4,276","$34,000","$40,000","$18,378",$648
