Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jamie Benn,20142015,DAL,L,L,82,35,52,87,1,64,1.06,23,59,10,23,2,5,0,6,253,13.8,19:57,51.7
John Tavares,20142015,NYI,L,C,82,38,48,86,5,46,1.05,25,54,13,31,0,1,4,8,278,13.7,20:40,52.2
Sidney Crosby,20142015,PIT,L,C,77,28,56,84,5,47,1.09,18,53,10,31,0,0,1,3,237,11.8,19:58,49.9
Jakub Voracek,20142015,PHI,L,R,82,22,59,81,1,78,0.99,11,48,11,33,0,0,2,3,221,10,18:36,66.7
Alex Ovechkin,20142015,WSH,R,L,81,53,28,81,10,58,1,28,47,25,34,0,0,0,11,395,13.4,20:20,40
Nicklas Backstrom,20142015,WSH,L,C,82,18,60,78,5,40,0.95,15,45,3,33,0,0,1,3,153,11.8,20:32,53.6
Tyler Seguin,20142015,DAL,R,C,71,37,40,77,-1,22,1.08,24,48,13,29,0,0,0,5,280,13.2,19:33,53.8
Jiri Hudler,20142015,CGY,L,R,78,31,45,76,17,14,0.97,25,60,6,16,0,0,1,5,158,19.6,18:01,45.7
Daniel Sedin,20142015,VAN,L,L,82,20,56,76,5,18,0.93,16,51,4,25,0,0,3,5,226,8.9,18:21,40
Claude Giroux,20142015,PHI,R,C,81,25,48,73,-3,36,0.9,11,36,14,37,0,0,2,4,279,9,20:34,56.6
Nick Foligno,20142015,CBJ,L,L,79,31,42,73,16,50,0.92,20,47,11,26,0,0,1,3,182,17,18:50,47.5
Henrik Sedin,20142015,VAN,L,C,82,18,55,73,11,22,0.89,13,48,5,25,0,0,0,0,101,17.8,18:37,45
Vladimir Tarasenko,20142015,STL,L,R,77,37,36,73,27,31,0.95,29,55,8,18,0,0,2,6,264,14,17:37,0
Steven Stamkos,20142015,TBL,R,C,82,43,29,72,2,49,0.88,30,47,13,25,0,0,0,6,268,16,19:22,49.7
Tyler Johnson,20142015,TBL,R,C,77,29,43,72,33,24,0.94,21,55,8,17,0,0,2,6,203,14.3,17:14,48.7
Ryan Johansen,20142015,CBJ,R,C,82,26,45,71,-6,40,0.87,17,43,7,26,2,2,0,0,202,12.9,19:30,52
Ryan Getzlaf,20142015,ANA,R,C,77,25,45,70,15,62,0.91,22,55,3,13,0,2,2,6,191,13.1,20:06,50.6
Evgeni Malkin,20142015,PIT,L,C,69,28,42,70,-2,60,1.01,19,44,9,26,0,0,1,4,212,13.2,18:58,42.7
Joe Pavelski,20142015,SJS,R,C,82,37,33,70,12,29,0.85,18,39,19,31,0,0,0,5,261,14.2,20:08,56
Rick Nash,20142015,NYR,L,L,79,42,27,69,29,36,0.87,32,52,6,12,4,5,0,8,304,13.8,17:27,50
Logan Couture,20142015,SJS,L,C,82,27,40,67,-6,12,0.82,19,41,6,24,2,2,0,4,263,10.3,19:04,48.2
Max Pacioretty,20142015,MTL,L,L,80,37,30,67,38,32,0.84,27,51,7,11,3,5,2,10,302,12.3,19:24,22.2
Jonathan Toews,20142015,CHI,L,C,81,28,38,66,30,36,0.81,20,46,6,17,2,3,1,7,192,14.6,19:34,56.5
Henrik Zetterberg,20142015,DET,L,C,77,17,49,66,-6,32,0.86,13,38,4,28,0,0,1,3,227,7.5,19:07,50.9
Erik Karlsson,20142015,OTT,R,D,82,21,45,66,7,42,0.8,15,36,6,30,0,0,1,3,292,7.2,27:15,--
Pavel Datsyuk,20142015,DET,L,C,63,26,39,65,12,8,1.03,18,41,8,24,0,0,1,5,165,15.8,19:03,53.6
Nikita Kucherov,20142015,TBL,L,R,82,29,36,65,38,37,0.79,27,50,2,15,0,0,0,2,191,15.2,14:57,0
Joe Thornton,20142015,SJS,L,C,78,16,49,65,-4,30,0.83,12,43,4,22,0,0,0,0,131,12.2,18:25,58
Johnny Gaudreau,20142015,CGY,L,L,80,24,40,64,11,14,0.8,16,43,8,21,0,0,0,4,167,14.4,17:43,37.5
Anze Kopitar,20142015,LAK,L,C,79,16,48,64,-2,10,0.81,10,40,6,24,0,0,0,4,134,11.9,19:23,52.6
Kyle Turris,20142015,OTT,R,C,82,24,40,64,5,36,0.78,19,47,4,16,1,1,1,6,215,11.2,19:13,50.1
Patrick Kane,20142015,CHI,L,R,61,27,37,64,10,10,1.05,21,42,6,22,0,0,0,5,186,14.5,19:51,42.9
Mark Stone,20142015,OTT,R,R,80,26,38,64,21,14,0.8,20,50,5,13,1,1,2,6,157,16.6,17:01,38.9
Alexander Steen,20142015,STL,L,L,74,24,40,64,8,33,0.86,16,40,8,24,0,0,1,5,223,10.8,19:59,50.4
Filip Forsberg,20142015,NSH,R,L,82,26,37,63,15,24,0.77,20,44,6,19,0,0,2,6,237,11,17:20,42.9
Radim Vrbata,20142015,VAN,R,R,79,31,32,63,6,20,0.8,19,40,12,23,0,0,0,7,267,11.6,16:37,55.6
Jordan Eberle,20142015,EDM,R,R,81,24,39,63,-16,24,0.78,18,42,6,21,0,0,0,2,183,13.1,19:03,16.7
Jaden Schwartz,20142015,STL,L,L,75,28,35,63,13,16,0.84,20,45,8,16,0,2,1,4,184,15.2,18:15,46.6
Ondrej Palat,20142015,TBL,L,L,75,16,47,63,31,24,0.84,12,50,3,11,1,2,1,5,139,11.5,17:26,28.6
Mike Ribeiro,20142015,NSH,L,C,82,15,47,62,11,62,0.76,14,50,1,12,0,0,0,3,96,15.6,18:45,43.2
