#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
35,"Bourque, Gabriel","LW, RW",22,ELC,RFA,"$618,333",34,50,11,5,16,15:49,"$12,366","$56,212","$123,666","$38,645","$1,149"
36,"Dwyer, Patrick",RW,29,Stnd,UFA,"$625,000",46,93,8,8,16,15:25,"$6,720","$78,125","$78,125","$39,062",$881
37,"Dupuis, Pascal","RW, LW",33,Stnd,UFA,"$1,500,000",48,140,20,18,38,17:30,"$10,714","$75,000","$83,333","$39,473","$1,785"
38,"Gionta, Stephen","C, RW",29,Stnd,UFA,"$562,500",48,58,4,10,14,13:01,"$9,698","$140,625","$56,250","$40,178",$900
39,"Brodie, TJ",RD,22,ELC,RFA,"$566,667",47,44,2,12,14,20:13,"$12,878","$283,333","$47,222","$40,476",$596
40,"Matthias, Shawn","C, LW",24,Stnd,RFA,"$851,625",48,106,14,7,21,15:11,"$8,034","$60,830","$121,660","$40,553","$1,168"
41,"Johansson, Marcus","C, LW, RW",22,ELC,RFA,"$900,000",34,40,6,16,22,16:35,"$22,500","$150,000","$56,250","$40,909","$1,596"
42,"McDonald, Colin",RW,28,Stnd,UFA,"$700,000",45,82,7,10,17,11:22,"$8,536","$100,000","$70,000","$41,176","$1,368"
43,"Franson, Cody",RD,25,Stnd,RFA,"$1,200,000",45,70,4,25,29,18:47,"$17,142","$300,000","$48,000","$41,379","$1,419"
44,"Pacioretty, Max",LW,24,Stnd,RFA,"$1,625,000",44,163,15,24,39,16:30,"$9,969","$108,333","$67,708","$41,666","$2,238"
45,"Tlusty, Jiri",C,24,Stnd,RFA,"$1,600,000",48,117,23,15,38,18:14,"$13,675","$69,565","$106,666","$42,105","$1,828"
46,"Palmieri, Kyle","RW, LW",21,ELC,RFA,"$900,000",42,92,10,11,21,12:19,"$9,782","$89,999","$81,818","$42,857","$1,739"
47,"Greening, Colin",LW,26,Stnd,UFA,"$816,666",47,80,8,11,19,14:43,"$10,208","$102,083","$74,242","$42,982","$1,180"
48,"Atkinson, Cam","RW, LW",23,ELC,RFA,"$775,000",35,91,9,9,18,15:35,"$8,516","$86,111","$86,111","$43,055","$1,420"
49,"Roussel, Antoine",LW,23,ELC,RFA,"$612,500",39,46,7,7,14,9:23,"$13,315","$87,500","$87,500","$43,750","$1,673"
50,"Calvert, Matt","LW, RW",23,ELC,RFA,"$712,500",42,63,9,7,16,14:10,"$11,309","$79,166","$101,785","$44,531","$1,197"
51,"Zibanejad, Mika",C,19,ELC,RFA,"$894,167",42,90,7,13,20,13:33,"$9,935","$127,738","$68,782","$44,708","$1,571"
52,"Backlund, Mikael",C,23,Stnd,RFA,"$725,000",32,88,8,8,16,15:07,"$8,238","$90,625","$90,625","$45,312","$1,498"
53,"Silfverberg, Jakob","RW, LW",22,ELC,RFA,"$863,333",48,134,10,9,19,16:13,"$6,442","$86,333","$95,925","$45,438","$1,109"
54,"MacDonald, Andrew",RD,26,Stnd,UFA,"$550,000",48,45,3,9,12,23:31,"$12,222","$183,333","$61,111","$45,833",$487
55,"Foligno, Marcus","LW, RW",21,ELC,RFA,"$826,667",47,55,5,13,18,13:37,"$15,030","$165,333","$63,589","$45,925","$1,291"
56,"Killorn, Alex",LW,23,ELC,RFA,"$875,000",38,82,7,12,19,16:49,"$10,670","$125,000","$72,916","$46,052","$1,369"
57,"Wiercioch, Patrick",LD,22,ELC,RFA,"$875,000",42,81,5,14,19,15:41,"$10,802","$175,000","$62,500","$46,052","$1,328"
58,"McDonagh, Ryan",LD,23,ELC,RFA,"$875,000",47,83,4,15,19,24:21:00,"$10,542","$218,750","$58,333","$46,052",$764
59,"Gomez, Scott",C,33,Stnd,UFA,"$700,000",39,58,2,13,15,13:32,"$12,068","$350,000","$53,846","$46,666","$1,326"
60,"Smith, Zack","LW, C",24,Stnd,RFA,"$700,000",48,94,4,11,15,15:08,"$7,446","$175,000","$63,636","$46,666",$963
61,"Tarasenko, Vladimir",RW,21,ELC,RFA,"$900,000",38,75,8,11,19,13:24,"$12,000","$112,500","$81,818","$47,368","$1,767"
62,"Butler, Bobby",RW,25,Stnd,RFA,"$525,000",34,41,4,7,11,10:47,"$12,804","$131,250","$75,000","$47,727","$1,431"
63,"Turris, Kyle",C,23,Stnd,RFA,"$1,400,000",48,118,12,17,29,19:38,"$11,864","$116,666","$82,352","$48,275","$1,485"
64,"Josi, Roman",LD,22,ELC,RFA,"$875,000",48,96,5,13,18,23:31,"$9,114","$175,000","$67,307","$48,611",$775
65,"Hansen, Jannik",RW,26,Stnd,UFA,"$1,350,000",47,99,10,17,27,17:33,"$13,636","$135,000","$79,411","$49,999","$1,636"
66,"Leddy, Nick",LD,21,ELC,RFA,"$900,000",48,65,6,12,18,17:25,"$13,846","$150,000","$75,000","$50,000","$1,076"
67,"Loktionov, Andrei",C,22,ELC,RFA,"$604,167",28,47,8,4,12,14:15,"$12,854","$75,520","$151,041","$50,347","$1,514"
68,"Clifford, Kyle",LW,21,ELC,RFA,"$710,000",48,56,7,7,14,10:36,"$12,678","$101,428","$101,428","$50,714","$1,395"
69,"Bernier, Steve",RW,27,Stnd,UFA,"$775,000",47,88,8,7,15,13:45,"$8,806","$96,875","$110,714","$51,666","$1,199"
70,"Carter, Ryan","C, LW",29,Stnd,UFA,"$775,000",44,63,6,9,15,13:03,"$12,301","$129,166","$86,111","$51,666","$1,349"
71,"Lewis, Trevor",RW,25,Stnd,RFA,"$725,000",48,92,5,9,14,15:12,"$7,880","$145,000","$80,555","$51,785",$993
72,"Condra, Erik",RW,26,Stnd,RFA,"$625,000",48,73,4,8,12,13:10,"$8,561","$156,250","$78,125","$52,083",$988
73,"Lovejoy, Ben",RD,28,Stnd,UFA,"$525,000",35,58,0,10,10,17:49,"$9,051",∞,"$52,500","$52,500",$841
74,"Cizikas, Casey",C,21,ELC,RFA,"$793,333",45,45,6,9,15,10:47,"$17,629","$132,222","$88,148","$52,888","$1,634"
75,"Bozak, Tyler","C, RW",26,Stnd,UFA,"$1,500,000",46,61,12,16,28,20:18,"$24,590","$125,000","$93,750","$53,571","$1,606"
76,"Bonino, Nick",C,24,Stnd,RFA,"$700,000",27,37,5,8,13,15:53,"$18,918","$140,000","$87,500","$53,846","$1,632"
77,"Irwin, Matt",LD/RD,25,Stnd,UFA,"$650,000",38,79,6,6,12,19:06,"$8,227","$108,333","$108,333","$54,166",$895
78,"Landeskog, Gabriel","LW, C",20,ELC,RFA,"$925,000",36,109,9,8,17,19:19,"$8,486","$102,777","$115,625","$54,411","$1,330"
79,"Simmonds, Wayne","RW, LW",24,Stnd,RFA,"$1,750,000",45,110,15,17,32,15:38,"$15,909","$116,666","$102,941","$54,687","$2,487"
80,"Barrie, Tyson",RD,21,ELC,RFA,"$715,000",32,58,2,11,13,21:34,"$12,327","$357,500","$65,000","$55,000","$1,036"
81,"Mitchell, John",C,27,Stnd,UFA,"$1,100,000",47,72,10,10,20,16:44,"$15,277","$110,000","$110,000","$55,000","$1,398"
82,"Brennan, T.J.",LD,23,Stnd,UFA,"$550,000",29,42,3,7,10,16:41,"$13,095","$183,333","$78,571","$55,000","$1,136"
83,"Bailey, Josh","RW, LW",23,Stnd,RFA,"$1,050,000",38,76,11,8,19,16:22,"$13,815","$95,454","$131,250","$55,263","$1,688"
84,"Faulk, Justin",LD/RD,20,ELC,RFA,"$840,000",38,76,5,10,15,24:00:00,"$11,052","$168,000","$84,000","$56,000",$921
85,"Pääjärvi, Magnus","LW, RW",21,ELC,RFA,"$900,000",42,75,9,7,16,14:07,"$12,000","$99,999","$128,571","$56,250","$1,517"
86,"Krüger, Marcus",C,22,ELC,RFA,"$735,000",47,50,4,9,13,14:09,"$14,700","$183,750","$81,666","$56,538","$1,105"
87,"Beleskey, Matt",LW,24,Stnd,RFA,"$737,500",42,61,8,5,13,12:00,"$12,090","$92,187","$147,500","$56,730","$1,463"
88,"Garbutt, Ryan",LW,27,Stnd,UFA,"$575,000",36,59,3,7,10,9:55,"$9,745","$191,666","$82,142","$57,500","$1,610"
89,"Hamilton, Dougie",RD,19,ELC,RFA,"$925,000",42,83,5,11,16,17:07,"$11,144","$185,000","$84,090","$57,812","$1,286"
90,"Smith, Craig","RW, C",23,ELC,RFA,"$715,000",44,83,4,8,12,13:51,"$8,614","$178,750","$89,375","$59,583","$1,173"
91,"Wingels, Tommy","RW, LW",24,Stnd,RFA,"$775,000",42,69,5,8,13,14:14,"$11,231","$155,000","$96,875","$59,615","$1,296"
92,"Clune, Rich",LW,25,Stnd,UFA,"$537,500",47,46,4,5,9,9:24,"$11,684","$134,375","$107,500","$59,722","$1,216"
93,"Porter, Kevin",C,26,Stnd,UFA,"$537,500",31,37,4,5,9,15:13,"$14,527","$134,375","$107,500","$59,722","$1,139"
94,"Thompson, Nate",C,28,Stnd,UFA,"$900,000",45,58,7,8,15,14:20,"$15,517","$128,571","$112,500","$60,000","$1,395"
95,"Oleksy, Steve",RD,26,Stnd,UFA,"$541,667",28,25,1,8,9,17:16,"$21,666","$541,667","$67,708","$60,185","$1,120"
96,"Postma, Paul",RD,23,Stnd,RFA,"$550,000",34,32,4,5,9,15:01,"$17,187","$137,500","$110,000","$61,111","$1,077"
97,"Couturier, Sean",C,20,ELC,RFA,"$925,000",46,75,4,11,15,15:53,"$12,333","$231,250","$84,090","$61,666","$1,266"
98,"Perreault, Mathieu","LW, RW",24,Stnd,UFA,"$1,050,000",39,47,6,11,17,11:40,"$22,340","$175,000","$95,454","$61,764","$2,307"
99,"Wheeler, Blake","RW, C",26,Stnd,RFA,"$2,550,000",48,129,19,22,41,18:48,"$19,767","$134,210","$115,909","$62,195","$2,825"
100,"Schwartz, Jaden",LW,20,ELC,RFA,"$830,000",45,50,7,6,13,12:28,"$16,600","$118,571","$138,333","$63,846","$1,479"
101,"Bennett, Beau","RW, LW",21,ELC,RFA,"$900,000",26,30,3,11,14,12:18,"$30,000","$300,000","$81,818","$64,285","$2,814"
102,"Coyle, Charlie","C, RW",20,ELC,RFA,"$900,000",37,50,8,6,14,15:03,"$18,000","$112,500","$150,000","$64,285","$1,616"
103,"Halischuk, Matt",RW,24,Stnd,RFA,"$712,500",36,51,5,6,11,11:57,"$13,970","$142,500","$118,750","$64,772","$1,656"
104,"Benoît, André",LD,28,Stnd,UFA,"$650,000",33,50,3,7,10,16:25,"$13,000","$216,666","$92,857","$65,000","$1,199"
105,"Purcell, Teddy","RW, LW",27,Stnd,UFA,"$2,362,500",48,94,11,25,36,16:44,"$25,132","$214,772","$94,500","$65,625","$2,941"
106,"Begin, Steve",C,34,Stnd,UFA,"$525,000",36,31,4,4,8,7:59,"$16,935","$131,250","$131,250","$65,625","$1,826"
107,"Wolski, Wojtek",RW,26,Stnd,UFA,"$600,000",27,49,4,5,9,13:21,"$12,244","$150,000","$120,000","$66,666","$1,664"
108,"Emmerton, Cory",C,24,Stnd,UFA,"$533,333",48,55,5,3,8,10:48,"$9,696","$106,666","$177,777","$66,666","$1,028"
109,"Palushaj, Aaron",RW,23,Stnd,UFA,"$600,000",25,29,2,7,9,11:18,"$20,689","$300,000","$85,714","$66,666","$2,123"
110,"Frattin, Matt",RW,24,Stnd,RFA,"$875,000",25,42,7,6,13,13:13,"$20,833","$125,000","$145,833","$67,307","$2,648"
111,"Galiardi, TJ",LW,24,Stnd,RFA,"$950,000",36,68,5,9,14,13:52,"$13,970","$190,000","$105,555","$67,857","$1,903"
112,"Kindl, Jakub",LD,25,Stnd,RFA,"$883,333",41,76,4,9,13,18:33,"$11,622","$220,833","$98,148","$67,948","$1,161"
113,"Sobotka, Vladimír","LW, C",25,Stnd,RFA,"$1,300,000",48,69,8,11,19,15:27,"$18,840","$162,500","$118,181","$68,421","$1,752"
114,"Skille, Jack",RW,25,Stnd,UFA,"$825,000",40,69,3,9,12,13:19,"$11,956","$275,000","$91,666","$68,750","$1,548"
115,"Shore, Drew",C,21,ELC,RFA,"$900,000",43,96,3,10,13,15:48,"$9,375","$300,000","$90,000","$69,230","$1,324"
116,"Marchand, Brad",LW,24,Stnd,RFA,"$2,500,000",45,91,18,18,36,16:57,"$27,472","$138,888","$138,888","$69,444","$3,277"
117,"Harrison, Jay",LD,30,Stnd,UFA,"$700,000",47,54,3,7,10,19:54,"$12,962","$233,333","$99,999","$70,000",$748
118,"Brouwer, Troy","LW, RW",27,Stnd,UFA,"$2,350,000",47,111,19,14,33,18:32,"$21,171","$123,684","$167,857","$71,212","$2,697"
119,"Moulson, Matt",LW,29,Stnd,UFA,"$3,133,333",47,154,15,29,44,19:09,"$20,346","$208,888","$108,045","$71,212","$3,481"
120,"Kunitz, Chris","RW, LW",33,Stnd,UFA,"$3,725,000",48,113,22,30,52,18:01,"$32,964","$169,318","$124,166","$71,634","$4,307"
121,"Hillen, Jack",D,26,Stnd,UFA,"$650,000",23,28,3,6,9,17:36,"$23,214","$216,666","$108,333","$72,222","$1,605"
122,"Johansen, Ryan","C, RW",20,ELC,RFA,"$870,000",40,84,5,7,12,16:05,"$10,357","$174,000","$124,285","$72,500","$1,352"
123,"Little, Bryan","C, RW",25,Stnd,RFA,"$2,383,333",48,84,7,25,32,19:47,"$28,373","$340,476","$95,333","$74,479","$2,509"
124,"Kostka, Michael",RD,27,Stnd,UFA,"$600,000",35,49,0,8,8,22:04,"$12,244",∞,"$75,000","$75,000",$776
125,"Fraser, Mark",D,26,Stnd,RFA,"$600,000",45,33,0,8,8,16:57,"$18,181",∞,"$75,000","$75,000",$786
126,"Adams, Craig",RW,35,Stnd,UFA,"$675,000",48,46,3,6,9,11:09,"$14,673","$225,000","$112,500","$75,000","$1,261"
127,"King, Dwight","LW, RW",23,Stnd,RFA,"$750,000",47,60,4,6,10,12:45,"$12,499","$187,500","$124,999","$75,000","$1,251"
128,"Paille, Daniel",LW,28,Stnd,UFA,"$1,300,000",46,70,10,7,17,12:40,"$18,571","$130,000","$185,714","$76,470","$2,231"
129,"Andersson, Joakim",C,23,ELC,RFA,"$612,500",38,43,3,5,8,12:05,"$14,244","$204,166","$122,500","$76,562","$1,333"
130,"Bartley, Victor",LD,24,ELC,RFA,"$537,500",24,19,0,7,7,19:32,"$28,289",∞,"$76,785","$76,785","$1,146"
131,"Couture, Logan","C, LW",23,Stnd,RFA,"$2,875,000",48,151,21,16,37,18:05,"$19,039","$136,904","$179,687","$77,702","$3,312"
132,"Clitsome, Grant",LD,27,Stnd,UFA,"$1,250,000",44,56,4,12,16,18:50,"$22,321","$312,500","$104,166","$78,125","$1,508"
133,"Giroux, Claude","LW, C, RW",24,Stnd,RFA,"$3,750,000",48,137,13,35,48,21:10,"$27,372","$288,461","$107,142","$78,125","$3,690"
134,"Stempniak, Lee",RW,29,Stnd,UFA,"$2,500,000",47,113,9,23,32,17:54,"$22,123","$277,777","$108,695","$78,125","$2,971"
135,"Nash, Riley","C, RW",23,ELC,UFA,"$704,166",32,36,4,5,9,12:48,"$19,560","$176,041","$140,833","$78,240","$1,719"
136,"Kassian, Zack",RW,21,ELC,RFA,"$870,000",39,49,7,4,11,13:28,"$17,755","$124,285","$217,500","$79,090","$1,656"
137,"McGinn, Jamie","LW, RW",24,Stnd,RFA,"$1,750,000",47,128,11,11,22,17:17,"$13,671","$159,090","$159,090","$79,545","$2,154"
138,"Spaling, Nick","C, LW",24,Stnd,RFA,"$1,050,000",47,57,9,4,13,15:51,"$18,421","$116,666","$262,500","$80,769","$1,409"
139,"Porter, Chris",LW,28,Stnd,UFA,"$650,000",29,46,2,6,8,11:38,"$14,130","$325,000","$108,333","$81,250","$1,926"
140,"Duchene, Matt","C, LW",21,Stnd,RFA,"$3,500,000",47,132,17,26,43,20:55,"$26,515","$205,882","$134,615","$81,395","$3,560"
141,"Fowler, Cam",LD,21,ELC,RFA,"$900,000",37,50,1,10,11,20:26,"$18,000","$900,000","$90,000","$81,818","$1,190"
142,"Subban, P.K.",RD,23,Stnd,RFA,"$3,109,375",42,126,11,27,38,23:14,"$24,677","$282,670","$115,162","$81,825","$3,186"
143,"Pánik, Richard","LW, RW",21,ELC,RFA,"$740,000",25,34,5,4,9,11:19,"$21,764","$148,000","$185,000","$82,222","$2,615"
144,"Aulie, Keith",D,23,Stnd,RFA,"$577,500",45,37,2,5,7,12:49,"$15,608","$288,750","$115,500","$82,500","$1,001"
145,"Kundratek, Tomas",C,23,ELC,RFA,"$579,167",25,23,1,6,7,16:08,"$25,181","$579,167","$96,527","$82,738","$1,435"
146,"Burrows, Alexandre","RW, LW",31,Stnd,UFA,"$2,000,000",47,140,13,11,24,18:54,"$14,285","$153,846","$181,818","$83,333","$2,251"
147,"Stewart, Chris","RW, LW",25,Stnd,RFA,"$3,000,000",48,97,18,18,36,15:49,"$30,927","$166,666","$166,666","$83,333","$3,951"
148,"Prospal, Vaclav",LW,37,35+,UFA,"$2,500,000",48,85,12,18,30,16:31,"$29,411","$208,333","$138,888","$83,333","$3,153"
149,"Brodin, Jonas",LD,19,ELC,RFA,"$925,000",45,51,2,9,11,23:12,"$18,137","$462,500","$102,777","$84,090",$886
150,"Flynn, Brian",RW,24,ELC,RFA,"$925,000",26,49,6,5,11,14:40,"$18,877","$154,166","$185,000","$84,090","$2,425"
151,"Gagner, Sam","C, RW",23,Stnd,RFA,"$3,200,000",48,113,14,24,38,19:24,"$28,318","$228,571","$133,333","$84,210","$3,436"
152,"Cooke, Matt",LW,34,Stnd,UFA,"$1,800,000",48,61,8,13,21,14:42,"$29,508","$225,000","$138,461","$85,714","$2,551"
153,"Etem, Emerson","LW, RW",20,ELC,RFA,"$870,000",38,48,3,7,10,11:27,"$18,125","$290,000","$124,285","$87,000","$1,999"
154,"Zuccarello, Mats","LW, RW",25,Stnd,RFA,"$700,000",15,27,3,5,8,16:25,"$25,925","$233,333","$140,000","$87,500","$2,842"
155,"Hamonic, Travis",RD,22,ELC,RFA,"$875,000",48,83,3,7,10,22:48,"$10,542","$291,666","$125,000","$87,500",$799
156,"Diaz, Raphael",RD,26,Stnd,UFA,"$1,225,000",23,34,1,13,14,20:33,"$36,029","$1,225,000","$94,230","$87,500","$2,591"
157,"Benn, Jordie",LD/RD,25,Stnd,UFA,"$525,000",26,31,1,5,6,17:18,"$16,935","$525,000","$105,000","$87,500","$1,167"
158,"Horak, Roman",C,21,ELC,RFA,"$613,333",20,28,2,5,7,14:31,"$21,904","$306,666","$122,666","$87,619","$2,112"
159,"Drewiske, Davis",LD,28,Stnd,UFA,"$616,667",29,28,2,5,7,15:11,"$22,023","$308,333","$123,333","$88,095","$1,400"
160,"McClement, Jay",C,29,Stnd,UFA,"$1,500,000",48,48,8,9,17,15:14,"$31,250","$187,500","$166,666","$88,235","$2,051"
161,"Gunnarsson, Carl",LD,26,Stnd,RFA,"$1,325,000",37,28,1,14,15,21:16,"$47,321","$1,325,000","$94,642","$88,333","$1,683"
162,"Nolan, Jordan",LW,23,ELC,RFA,"$531,667",44,23,2,4,6,8:28,"$23,115","$265,833","$132,916","$88,611","$1,427"
163,"Baertschi, Sven",LW,20,ELC,RFA,"$894,167",20,28,3,7,10,13:24,"$31,934","$298,055","$127,738","$89,416","$3,336"
164,"Goc, Marcel",C,29,Stnd,UFA,"$1,700,000",42,92,9,10,19,18:16,"$18,478","$188,888","$170,000","$89,473","$2,215"
165,"Burmistrov, Alexander","C, RW",21,ELC,RFA,"$900,000",44,55,4,6,10,15:38,"$16,363","$225,000","$150,000","$90,000","$1,308"
166,"Pouliot, Benoit",LW,26,Stnd,UFA,"$1,800,000",34,60,8,12,20,13:14,"$30,000","$225,000","$150,000","$90,000","$4,000"
167,"Berglund, Patrik","C, LW",24,Stnd,RFA,"$2,250,000",48,74,17,8,25,16:49,"$30,405","$132,352","$281,250","$90,000","$2,787"
168,"Tatar, Tomas","LW, RW",22,ELC,RFA,"$630,000",18,32,4,3,7,11:22,"$19,687","$157,500","$210,000","$90,000","$3,079"
169,"Ennis, Tyler","C, LW, RW",23,Stnd,RFA,"$2,812,500",47,108,10,21,31,17:52,"$26,041","$281,250","$133,928","$90,725","$3,349"
170,"Martin, Matt","LW, RW",23,Stnd,UFA,"$1,000,000",48,67,4,7,11,11:54,"$14,925","$250,000","$142,857","$90,909","$1,750"
171,"Cracknell, Adam",RW,27,Stnd,UFA,"$550,000",20,21,2,4,6,8:36,"$26,190","$275,000","$137,500","$91,666","$3,197"
172,"Letang, Kris",RD,25,Stnd,UFA,"$3,500,000",35,95,5,33,38,25:38:00,"$36,842","$700,000","$106,060","$92,105","$3,901"
173,"Voracek, Jakub","RW, LW",23,Stnd,UFA,"$4,250,000",48,129,22,24,46,17:14,"$32,945","$193,181","$177,083","$92,391","$5,137"
174,"Blum, Jonathon",D,23,Stnd,RFA,"$650,000",35,26,1,6,7,14:17,"$25,000","$650,000","$108,333","$92,857","$1,300"
175,"Dillon, Brenden",LD,22,ELC,RFA,"$743,333",48,75,3,5,8,21:22,"$9,911","$247,777","$148,666","$92,916",$724
176,"Parenteau, PA",RW,29,Stnd,UFA,"$4,000,000",48,105,18,25,43,19:08,"$38,095","$222,222","$160,000","$93,023","$4,355"
177,"St. Louis, Martin",RW,37,35+,UFA,"$5,625,000",48,112,17,43,60,21:59,"$50,223","$330,882","$130,813","$93,750","$5,330"
178,"Gryba, Eric",RD,24,Stnd,RFA,"$562,500",33,51,2,4,6,20:16,"$11,029","$281,250","$140,625","$93,750",$841
179,"Beck, Taylor",LW,21,ELC,RFA,"$660,000",16,39,3,4,7,16:05,"$16,923","$220,000","$165,000","$94,285","$2,564"
180,"Komarov, Leo","RW, LW, C",25,ELC,RFA,"$850,000",42,51,4,5,9,13:56,"$16,666","$212,500","$170,000","$94,444","$1,452"
181,"Engelland, Deryk",RD,30,Stnd,UFA,"$566,667",42,31,0,6,6,13:55,"$18,279",∞,"$94,444","$94,444",$969
182,"Winnik, Daniel",C,27,Stnd,UFA,"$1,800,000",48,95,6,13,19,16:49,"$18,947","$300,000","$138,461","$94,736","$2,229"
183,"Nielsen, Frans","C, LW",28,Stnd,UFA,"$2,750,000",48,93,6,23,29,18:01,"$29,569","$458,333","$119,565","$94,827","$3,179"
184,"Prout, Dalton",RD,22,ELC,RFA,"$666,667",28,16,1,6,7,18:31,"$41,666","$666,667","$111,111","$95,238","$1,285"
185,"Ladd, Andrew",LW,27,Stnd,UFA,"$4,400,000",48,121,18,28,46,19:40,"$36,363","$244,444","$157,142","$95,652","$4,661"
186,"Jeffrey, Dustin",C,24,Stnd,RFA,"$575,000",24,26,3,3,6,11:30,"$22,115","$191,666","$191,666","$95,833","$2,083"
