#,PLAYER,POS,AGE,TYPE,EXPIRY,CAP HIT,GP,SH,G,A,P,TOI,$/SH,$/G,$/A,$/P,$/MIN
1,"Hall, Taylor",LW,21,ELC,RFA,"$900,000",45,154,16,34,50,18:37,"$5,844","$56,250","$26,470","$18,000","$1,074"
2,"Stepan, Derek",C,22,ELC,RFA,"$820,833",48,108,18,26,44,20:55,"$7,600","$45,601","$31,570","$18,655",$817
3,"Kadri, Nazem",C,22,ELC,RFA,"$870,000",48,107,18,26,44,16:03,"$8,130","$48,333","$33,461","$19,772","$1,129"
4,"Letestu, Mark","C, RW",27,Stnd,UFA,"$625,000",46,92,13,14,27,16:30,"$6,793","$48,076","$44,642","$23,148",$823
5,"Bickell, Bryan",LW,26,Stnd,UFA,"$541,667",48,82,9,14,23,12:48,"$6,605","$60,185","$38,690","$23,550",$881
6,"Eberle, Jordan",RW,22,ELC,RFA,"$875,000",48,133,16,21,37,18:59,"$6,578","$54,687","$41,666","$23,648",$960
7,"Eakin, Cody",C,21,ELC,RFA,"$571,667",48,67,7,17,24,15:05,"$8,532","$81,666","$33,627","$23,819",$789
8,"Hodgson, Cody","C, RW",22,ELC,RFA,"$816,667",48,114,15,19,34,18:23,"$7,163","$54,444","$42,982","$24,019",$925
9,"Gallagher, Brendan",RW,20,ELC,RFA,"$685,000",44,117,15,13,28,13:51,"$5,854","$45,666","$52,692","$24,464","$1,124"
10,"Hagelin, Carl",LW,24,ELC,RFA,"$637,500",48,132,10,14,24,17:18,"$4,829","$63,750","$45,535","$26,562",$767
11,"Seguin, Tyler","C, RW",20,ELC,RFA,"$900,000",48,161,16,16,32,17:00,"$5,590","$56,250","$56,250","$28,125","$1,102"
12,"Saad, Brandon","RW, LW",20,ELC,RFA,"$764,167",46,98,10,17,27,16:27,"$7,797","$76,416","$44,951","$28,302","$1,009"
13,"Boyes, Brad","RW, C",30,Stnd,UFA,"$1,000,000",48,97,10,25,35,18:12,"$10,309","$100,000","$40,000","$28,571","$1,144"
14,"Huberdeau, Jonathan",LW,19,ELC,RFA,"$894,167",48,112,14,17,31,16:55,"$7,983","$63,869","$52,598","$28,844","$1,101"
15,"Yakupov, Nail","RW, LW",19,ELC,RFA,"$925,000",48,81,17,14,31,14:33,"$11,419","$54,411","$66,071","$29,838","$1,324"
16,"Conacher, Cory",LW,23,ELC,RFA,"$871,250",47,67,11,18,29,13:58,"$13,003","$79,204","$48,402","$30,043","$1,327"
17,"Desharnais, David",C,26,Stnd,RFA,"$850,000",48,66,10,18,28,16:27,"$12,878","$85,000","$47,222","$30,357","$1,076"
18,"Voynov, Slava",RD,22,ELC,RFA,"$762,500",48,79,6,19,25,22:18,"$9,651","$127,083","$40,131","$30,500",$712
19,"Schenn, Brayden","C, LW",21,ELC,RFA,"$870,000",47,79,8,18,26,15:31,"$11,012","$108,750","$48,333","$33,461","$1,192"
20,"Pietrangelo, Alex",RD,22,ELC,RFA,"$816,667",47,93,5,19,24,25:06:00,"$8,781","$163,333","$42,982","$34,027",$692
21,"Galchenyuk, Alex","LW, C, RW",18,ELC,RFA,"$925,000",48,79,9,18,27,12:19,"$11,708","$102,777","$51,388","$34,259","$1,564"
22,"Schultz, Justin",RD,22,ELC,RFA,"$925,000",48,85,8,19,27,21:26,"$10,882","$115,625","$48,684","$34,259",$899
23,"Spurgeon, Jared",RD,23,ELC,RFA,"$526,667",39,67,5,10,15,21:32,"$7,860","$105,333","$52,666","$35,111",$627
24,"Fehr, Eric","C, RW",27,Stnd,UFA,"$600,000",41,72,9,8,17,13:22,"$8,333","$66,666","$75,000","$35,294","$1,094"
25,"Henrique, Adam",C,22,ELC,RFA,"$575,000",42,78,11,5,16,18:19,"$7,371","$52,272","$115,000","$35,937",$747
26,"Muzzin, Jake",LD,23,Stnd,RFA,"$577,500",45,77,7,9,16,17:53,"$7,500","$82,500","$64,166","$36,093",$717
27,"Pyatt, Tom",C,25,Stnd,UFA,"$600,000",43,60,8,8,16,13:34,"$10,000","$75,000","$75,000","$37,500","$1,028"
28,"Read, Matt","RW, LW",26,Stnd,UFA,"$900,000",42,72,11,13,24,18:01,"$12,499","$81,818","$69,230","$37,500","$1,189"
29,"Skinner, Jeff","LW, RW",20,ELC,RFA,"$900,000",42,159,13,11,24,18:27,"$5,660","$69,230","$81,818","$37,500","$1,161"
30,"Shattenkirk, Kevin",RD,23,ELC,RFA,"$875,000",48,84,5,18,23,21:18,"$10,416","$175,000","$48,611","$38,043",$855
31,"Stalberg, Viktor","LW, RW",26,Stnd,UFA,"$875,000",47,113,9,14,23,14:07,"$7,743","$97,222","$62,499","$38,043","$1,318"
32,"Shaw, Andrew","C, RW",21,ELC,RFA,"$573,333",48,64,9,6,15,15:03,"$8,958","$63,703","$95,555","$38,222",$793
33,"Eller, Lars",C,23,Stnd,RFA,"$1,150,000",46,84,8,22,30,14:49,"$13,690","$143,750","$52,272","$38,333","$1,687"
34,"Nugent-Hopkins, Ryan","C, LW",19,ELC,RFA,"$925,000",40,78,4,20,24,18:51,"$11,858","$231,250","$46,250","$38,541","$1,226"
