Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Magnus Paajarvi,20162017,STL,L,L,32,8,5,13,9,6,0.41,7,12,1,1,0,0,0,3,51,15.7,12:09,33.3
Mark Barberio,20162017,"MTL,COL",L,D,60,2,11,13,-5,14,0.22,1,9,1,4,0,0,0,0,80,2.5,18:16,--
Marco Scandella,20162017,MIN,L,D,71,4,9,13,-2,25,0.18,4,13,0,0,0,0,0,0,88,4.6,18:20,--
Niklas Kronwall,20162017,DET,L,D,57,2,11,13,-7,32,0.23,2,7,0,6,0,0,0,0,67,3,19:27,--
Matt Nieto,20162017,"SJS,COL",L,L,59,7,6,13,-12,8,0.22,7,12,0,0,0,1,0,1,85,8.2,14:55,33.3
Fedor Tyutin,20162017,COL,L,D,69,1,12,13,-25,38,0.19,1,13,0,0,0,0,0,0,46,2.2,18:56,--
Kevan Miller,20162017,BOS,R,D,58,3,10,13,1,50,0.22,3,12,0,0,0,1,0,1,49,6.1,17:48,--
Nick Jensen,20162017,DET,R,D,49,4,9,13,-7,12,0.27,4,12,0,0,0,1,0,0,59,6.8,17:45,--
Lukas Sedlak,20162017,CBJ,L,C,62,7,6,13,10,25,0.21,6,12,0,0,1,1,0,0,57,12.3,9:43,52.4
Riley Sheahan,20162017,DET,L,C,80,2,11,13,-29,14,0.16,1,10,1,3,0,0,0,0,109,1.8,13:58,50.6
Nic Petan,20162017,WPG,L,C,54,1,12,13,-13,12,0.24,1,5,0,8,0,0,0,0,57,1.8,10:54,46
Karl Alzner,20162017,WSH,L,D,82,3,10,13,23,28,0.16,3,13,0,0,0,0,0,0,81,3.7,19:47,--
Kris Russell,20162017,EDM,L,D,68,1,12,13,5,23,0.19,1,12,0,1,0,0,0,1,68,1.5,21:13,--
Justin Braun,20162017,SJS,R,D,81,4,9,13,1,28,0.16,4,11,0,0,0,2,0,0,95,4.2,20:05,--
Luca Sbisa,20162017,VAN,L,D,82,2,11,13,-1,40,0.16,2,13,0,0,0,0,0,1,75,2.7,18:59,--
Ryan Reaves,20162017,STL,R,R,80,7,6,13,4,104,0.16,7,13,0,0,0,0,0,1,58,12.1,8:53,0
Colin Miller,20162017,BOS,R,D,61,6,7,13,0,55,0.21,5,11,1,2,0,0,0,0,85,7.1,15:49,--
Tyler Ennis,20162017,BUF,L,C,51,5,8,13,-10,12,0.25,5,10,0,3,0,0,0,1,89,5.6,12:50,18.8
Jordan Weal,20162017,PHI,R,C,23,8,4,12,5,10,0.52,7,11,1,1,0,0,0,1,49,16.3,14:19,50
Shawn Matthias,20162017,WPG,L,L,45,8,4,12,0,13,0.27,7,11,0,0,1,1,0,1,51,15.7,13:34,31.3
Micheal Haley,20162017,SJS,L,L,58,2,10,12,6,128,0.21,2,12,0,0,0,0,0,1,37,5.4,9:11,44.3
Ivan Barbashev,20162017,STL,L,C,30,5,7,12,5,2,0.4,5,12,0,0,0,0,0,1,20,25,11:47,40.1
Ben Chiarot,20162017,WPG,L,D,59,2,10,12,2,33,0.2,2,12,0,0,0,0,0,0,49,4.1,15:19,--
Peter Holland,20162017,"TOR,ARI",L,C,48,5,7,12,-16,22,0.25,4,11,1,1,0,0,0,0,79,6.3,12:45,45.4
Patrick Wiercioch,20162017,COL,L,D,57,4,8,12,-18,23,0.21,4,12,0,0,0,0,0,0,63,6.4,16:40,--
Xavier Ouellet,20162017,DET,L,D,66,3,9,12,2,51,0.18,3,12,0,0,0,0,0,0,89,3.4,17:58,0
Danny DeKeyser,20162017,DET,L,D,82,4,8,12,-22,33,0.15,4,12,0,0,0,0,1,2,85,4.7,21:57,--
Josh Jooris,20162017,"NYR,ARI",R,R,54,4,8,12,-2,16,0.22,4,11,0,0,0,1,0,0,75,5.3,12:12,49.3
Kyle Clifford,20162017,LAK,L,L,73,6,6,12,-2,92,0.16,6,12,0,0,0,0,0,0,122,4.9,10:43,40
Cody Eakin,20162017,DAL,L,C,60,3,9,12,-7,49,0.2,3,10,0,2,0,0,0,1,82,3.7,16:49,52.4
Devin Setoguchi,20162017,LAK,R,R,45,4,8,12,-5,14,0.27,4,11,0,1,0,0,0,0,60,6.7,12:27,50
Joakim Nordstrom,20162017,CAR,L,C,82,7,5,12,-12,17,0.15,6,11,0,0,1,1,0,2,104,6.7,12:43,31
Lawson Crouse,20162017,ARI,L,L,72,5,7,12,-20,48,0.17,4,11,0,0,1,1,0,2,84,6,11:53,50
Brandon Manning,20162017,PHI,L,D,65,3,9,12,-12,83,0.18,2,11,0,0,1,1,0,1,84,3.6,18:03,0
Tommy Wingels,20162017,"SJS,OTT",R,C,73,7,5,12,-11,27,0.16,7,12,0,0,0,0,0,2,81,8.6,10:30,42.7
Chris Kelly,20162017,OTT,L,C,82,5,7,12,-17,23,0.15,4,11,0,0,1,1,0,2,85,5.9,11:56,44.5
Marc Methot,20162017,OTT,L,D,68,0,12,12,13,24,0.18,0,12,0,0,0,0,0,0,69,0,19:49,--
Braydon Coburn,20162017,TBL,L,D,80,5,7,12,-1,50,0.15,4,11,0,0,1,1,0,0,102,4.9,16:44,--
Tyler Pitlick,20162017,EDM,R,C,31,8,3,11,0,6,0.35,8,11,0,0,0,0,0,1,54,14.8,9:55,53.3
Darnell Nurse,20162017,EDM,L,D,44,5,6,11,0,33,0.25,5,11,0,0,0,0,0,0,85,5.9,17:01,--
Jake Dotchin,20162017,TBL,R,D,35,0,11,11,10,35,0.31,0,11,0,0,0,0,0,0,50,0,18:26,--
Eric Fehr,20162017,"PIT,TOR",R,C,53,6,5,11,2,14,0.21,6,11,0,0,0,0,0,3,62,9.7,10:56,51.3
Adam Clendening,20162017,NYR,R,D,31,2,9,11,3,17,0.35,1,9,1,2,0,0,0,0,38,5.3,15:49,--
Fredrik Claesson,20162017,OTT,L,D,33,3,8,11,5,4,0.33,3,10,0,0,0,1,0,0,25,12,13:08,--
Johan Larsson,20162017,BUF,L,L,36,6,5,11,-7,20,0.31,5,10,1,1,0,0,0,2,49,12.2,16:51,49
Roman Polak,20162017,TOR,R,D,75,4,7,11,10,65,0.15,4,11,0,0,0,0,0,1,64,6.3,17:55,0
