TEAM,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
NY Rangers,82,53,22,7,113,49,252,192,60,25-11-5,28-11-2,4-5,7-3-2000,W1
Montréal,82,50,22,10,110,43,221,189,32,26-9-6,24-13-4,7-5,5-2-2003,W3
Anaheim,82,51,24,7,109,43,236,226,10,26-12-3,25-12-4,8-5,6-4-2000,W1
St Louis,82,51,24,7,109,42,248,201,47,27-12-2,24-12-5,9-4,6-3-2001,W2
Tampa Bay,82,50,24,8,108,47,262,211,51,32-8-1,18-16-7,3-5,6-3-2001,W3
Nashville,82,47,25,10,104,41,232,208,24,28-9-4,19-16-6,6-6,4-4-2002,L3
Chicago,82,48,28,6,102,39,229,189,40,24-12-5,24-16-1,9-3,4-6-2000,L4
Vancouver,82,48,29,5,101,42,242,222,20,24-15-2,24-14-3,6-2,6-3-2001,W3
Washington,82,45,26,11,101,40,242,203,39,23-13-5,22-13-6,5-4,6-3-2001,L1
NY Islanders,82,47,28,7,101,40,252,230,22,25-14-2,22-14-5,7-6,4-3-2003,OT1
Minnesota,82,46,28,8,100,42,231,201,30,22-13-6,24-15-2,4-3,6-3-2001,L1
Detroit,82,43,25,14,100,39,235,221,14,22-10-9,21-15-5,4-10,4-4-2002,W1
Ottawa,82,43,26,13,99,37,238,215,23,23-13-5,20-13-8,6-7,6-2-2002,W3
Winnipeg,82,43,26,13,99,36,230,210,20,23-13-5,20-13-8,7-6,6-3-2001,W1
Pittsburgh,82,43,27,12,98,39,221,210,11,23-14-4,20-13-8,4-6,3-5-2002,W1
Calgary,82,45,30,7,97,41,241,216,25,23-13-5,22-17-2,4-3,6-3-2001,L1
Boston,82,41,27,14,96,37,213,211,2,24-10-7,17-17-7,4-10,5-3-2002,OT1
Los Angeles,82,40,27,15,95,38,220,205,15,25-9-7,15-18-8,2-8,5-4-2001,W1
  Dallas,82,41,31,10,92,37,261,260,1,17-16-8,24-15-2,4-3,7-3-2000,W4
 Florida,82,38,29,15,91,30,206,223,-17,21-13-7,17-16-8,8-10,5-4-2001,W2
 Colorado,82,39,31,12,90,29,219,227,-8,23-15-3,16-16-9,10-4,6-4-2000,W3
 San Jose,82,40,33,9,89,36,228,232,-4,19-17-5,21-16-4,4-6,5-4-2001,L1
Columbus,82,42,35,5,89,33,236,250,-14,19-20-2,23-15-3,9-2,9-0-1,W3
Philadelphia,82,33,31,18,84,30,215,234,-19,23-11-7,10-20-11,3-11,4-3-2003,L2
  New Jersey,82,32,36,14,78,27,181,216,-35,19-14-8,13-22-6,5-7,1-6-2003,L1
 Carolina,82,30,41,11,71,25,188,226,-38,18-16-7,12-25-2004,5-7,4-5-2001,L1
Toronto,82,30,44,8,68,25,211,262,-51,22-17-2,8-27-2006,5-5,3-5-2002,OT1
Edmonton,82,24,44,14,62,19,198,283,-85,15-23-3,9-21-11,5-7,4-5-2001,OT1
 Arizona,82,24,50,8,56,19,170,272,-102,11-25-2005,13-25-3,5-5,3-7-2000,L3
Buffalo,82,23,51,8,54,15,161,274,-113,14-22-5,9-29-2003,8-5,3-6-2001,L2
