TEAM,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Washington,82,55,19,8,118,53,263,182,81,32-7-2,23-12-6,2-5,8-2-2000,L1
Pittsburgh,82,50,21,11,111,46,282,234,48,31-6-4,19-15-7,4-5,4-4-2002,L2
Chicago,82,50,23,9,109,46,244,213,31,26-10-5,24-13-4,4-1,3-3-2004,OT1
Columbus,82,50,24,8,108,48,249,195,54,28-12-1,22-12-7,2-2,3-5-2002,W1
Minnesota,82,49,25,8,106,46,266,208,58,27-12-2,22-13-6,3-2,5-3-2002,W4
Anaheim,82,46,23,13,105,43,223,200,23,29-8-4,17-15-9,3-3,8-0-2,W4
Montréal,82,47,26,9,103,44,226,200,26,24-12-5,23-14-4,3-2,6-3-2001,W1
Edmonton,82,47,26,9,103,43,247,212,35,25-12-4,22-14-5,4-5,8-2-2000,W3
NY Rangers,82,48,28,6,102,45,256,220,36,21-16-4,27-12-2,3-4,3-4-2003,W1
St Louis,82,46,29,7,99,44,235,218,17,24-12-5,22-17-2,2-2,7-1-2002,W3
San Jose,82,46,29,7,99,44,221,201,20,26-11-4,20-18-3,2-1,4-6-2000,W1
Ottawa,82,44,28,10,98,38,212,214,-2,22-11-8,22-17-2,6-4,4-4-2002,L1
Boston,82,44,31,7,95,42,234,212,22,23-17-1,21-14-6,2-3,6-3-2001,L1
Toronto,82,40,27,15,95,39,251,242,9,21-13-7,19-14-8,1-8,6-4-2000,L1
Calgary,82,45,33,4,94,41,226,221,5,24-17-0,21-16-4,4-2,4-6-2000,L1
Nashville,82,41,29,12,94,39,240,224,16,24-9-8,17-20-4,2-4,5-4-2001,L1
NY Islanders,82,41,29,12,94,39,241,242,-1,22-12-7,19-17-5,2-4,7-3-2000,W6
 Tampa Bay,82,42,30,10,94,38,234,227,7,23-14-4,19-16-6,4-3,8-1-2001,W3
 Philadelphia,82,39,33,10,88,32,219,236,-17,25-11-5,14-22-5,7-5,6-2-2002,OT1
Winnipeg,82,40,35,7,87,37,249,256,-7,22-18-1,18-17-6,3-1,8-2-2000,W7
Carolina,82,36,31,15,87,33,215,236,-21,23-12-6,13-19-9,3-6,4-4-2002,W1
  Los Angeles,82,39,35,8,86,37,201,205,-4,23-16-2,16-19-6,2-4,5-4-2001,OT1
Florida,82,35,36,11,81,30,210,237,-27,19-19-3,16-17-8,5-6,4-6-2000,W2
Dallas,82,34,37,11,79,33,223,262,-39,22-13-6,12-24-2005,1-2,5-4-2001,W1
Detroit,82,33,36,13,79,24,207,244,-37,17-17-7,16-19-6,9-0,4-4-2002,W1
  Buffalo,82,33,37,12,78,31,201,237,-36,20-15-6,13-22-6,2-6,4-6-2000,L2
  New Jersey,82,28,40,14,70,25,183,244,-61,16-17-8,12-23-2006,3-3,1-7-2002,L3
Arizona,82,30,42,10,70,24,197,260,-63,18-18-5,12-24-2005,6-2,4-5-2001,L1
  Vancouver,82,30,43,9,69,26,182,243,-61,18-17-6,12-26-2003,4-2,1-9-2000,L8
Colorado,82,22,56,4,48,21,166,278,-112,13-26-2,9-30-2002,1-2,2-7-2001,L1
