TEAM,GP,W,L,OT,PTS,ROW,GF,GA,DIFF,HOME,AWAY,S/O,L10,STRK
Boston,82,54,19,9,117,51,261,177,84,31-7-3,23-12-6,3-6,5-2-2003,L1
Anaheim,82,54,20,8,116,51,266,209,57,29-8-4,25-12-4,3-6,7-2-2001,W4
Colorado,82,52,22,8,112,47,250,220,30,26-11-4,26-11-4,5-4,7-1-2002,OT1
St Louis,82,52,23,7,111,43,248,191,57,28-9-4,24-14-3,9-3,3-7-2000,L6
San Jose,82,51,22,9,111,41,249,200,49,29-7-5,22-15-4,10-7,5-4-2001,W2
Pittsburgh,82,51,24,7,109,44,249,207,42,28-9-4,23-15-3,7-3,5-3-2002,OT2
Chicago,82,46,21,15,107,40,267,220,47,27-7-7,19-14-8,6-8,5-5-2000,L2
Tampa Bay,82,46,27,9,101,38,240,215,25,25-10-6,21-17-3,8-6,7-3-2000,W4
Montréal,82,46,28,8,100,40,215,204,11,23-13-5,23-15-3,6-3,7-2-2001,W1
Los Angeles,82,46,28,8,100,38,206,174,32,23-14-4,23-14-4,8-6,5-3-2002,OT1
Minnesota,82,43,27,12,98,35,207,206,1,26-10-5,17-17-7,8-8,6-3-2001,L1
NY Rangers,82,45,31,6,96,41,218,193,25,20-17-4,25-14-2,4-3,6-2-2002,OT1
Philadelphia,82,42,30,10,94,39,236,235,1,24-14-3,18-16-7,3-8,4-3-2003,OT1
Columbus,82,43,32,7,93,38,231,216,15,22-15-4,21-17-3,5-2,6-3-2001,W1
Detroit,82,39,28,15,93,34,222,230,-8,18-13-10,21-15-5,5-9,6-3-2001,W1
Dallas,82,40,31,11,91,36,235,228,7,23-11-7,17-20-4,4-5,6-4-2000,L1
Washington,82,38,30,14,90,28,235,240,-5,21-13-7,17-17-7,10-11,4-3-2003,OT1
Phoenix,82,37,30,15,89,31,216,231,-15,22-14-5,15-16-10,6-7,3-4-2003,W1
Nashville,82,38,32,12,88,36,216,242,-26,19-17-5,19-15-7,2-9,7-1-2002,W3
 New Jersey,82,35,29,18,88,35,197,208,-11,21-11-9,14-18-9,0-13,4-1-2005,W1
Ottawa,82,37,31,14,88,30,236,265,-29,18-17-6,19-14-8,7-7,8-2-2000,W5
Winnipeg,82,37,35,10,84,29,227,237,-10,18-17-6,19-18-4,8-6,5-4-2001,W2
Toronto,82,38,36,8,84,29,231,256,-25,24-16-1,14-20-7,9-4,2-8-2000,L4
 Carolina,82,36,35,11,83,34,207,230,-23,18-17-6,18-18-5,2-4,5-3-2002,W2
Vancouver,82,36,35,11,83,31,196,223,-27,20-15-6,16-20-5,5-7,4-5-2001,W1
 NY Islanders,82,34,37,11,79,25,225,267,-42,13-19-9,21-18-2,9-6,6-2-2002,W3
Calgary,82,35,40,7,77,28,209,241,-32,19-19-3,16-21-4,7-3,5-5-2000,L2
Edmonton,82,29,44,9,67,25,203,270,-67,16-22-3,13-22-6,4-3,4-6-2000,W1
 Florida,82,29,45,8,66,21,196,268,-72,16-20-5,13-25-3,8-6,3-7-2000,L1
Buffalo,82,21,51,10,52,14,157,248,-91,13-21-7,8-30-2003,7-5,1-7-2002,OT1
