Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Patrick Kane,20112012,CHI,L,R,82,23,43,66,7,40,0.8,19,54,4,12,0,0,0,5,253,9.1,20:12,42.2
Teemu Selanne,20112012,ANA,R,R,82,26,40,66,-1,50,0.8,14,38,12,28,0,0,0,4,210,12.4,17:53,48.3
Alex Ovechkin,20112012,WSH,R,L,78,38,27,65,-8,26,0.83,25,42,13,23,0,0,2,3,303,12.5,19:48,40
Logan Couture,20112012,SJS,L,C,80,31,34,65,2,16,0.81,18,37,11,26,2,2,0,5,245,12.7,18:34,51.4
Teddy Purcell,20112012,TBL,R,L,81,24,41,65,9,16,0.8,16,46,8,19,0,0,1,3,152,15.8,16:08,17.7
Max Pacioretty,20112012,MTL,L,L,79,33,32,65,2,56,0.82,29,52,4,13,0,0,1,5,286,11.5,18:16,20
Blake Wheeler,20112012,WPG,R,R,80,17,47,64,3,55,0.8,11,49,6,15,0,0,0,3,208,8.2,19:05,40
Patrice Bergeron,20112012,BOS,R,C,81,22,42,64,36,20,0.79,15,47,5,14,2,3,0,3,191,11.5,18:35,59.3
Patrick Marleau,20112012,SJS,L,C,82,30,34,64,10,26,0.78,20,39,10,25,0,0,0,8,251,12,20:29,52
Mike Ribeiro,20112012,DAL,L,C,74,18,45,63,5,66,0.85,16,48,2,15,0,0,1,5,142,12.7,20:03,42.2
Jamie Benn,20112012,DAL,L,L,71,26,37,63,15,55,0.89,23,52,2,10,1,1,0,7,203,12.8,18:04,46.2
Radim Vrbata,20112012,PHX,R,R,77,35,27,62,24,24,0.81,25,44,9,17,1,1,1,12,232,15.1,18:39,40.3
Michael Ryder,20112012,DAL,R,R,82,35,27,62,17,46,0.76,28,52,7,10,0,0,0,6,211,16.6,17:23,47.9
David Krejci,20112012,BOS,R,C,79,23,39,62,-5,36,0.78,21,51,2,11,0,0,1,2,145,15.9,18:25,52.1
Milan Lucic,20112012,BOS,L,L,81,26,35,61,7,135,0.75,19,50,7,11,0,0,0,1,149,17.5,17:02,46.7
Erik Cole,20112012,MTL,L,L,82,35,26,61,11,48,0.74,24,47,11,14,0,0,0,6,241,14.5,18:32,42.9
Joe Pavelski,20112012,SJS,R,C,82,31,30,61,18,31,0.74,22,42,8,18,1,1,0,2,269,11.5,20:37,58.7
Thomas Vanek,20112012,BUF,R,L,78,26,35,61,-6,52,0.78,16,37,10,24,0,0,1,5,204,12.8,16:56,50
Tomas Fleischmann,20112012,FLA,L,L,82,27,34,61,-7,26,0.74,21,39,6,22,0,0,0,4,217,12.4,19:06,51.9
Olli Jokinen,20112012,CGY,L,C,82,23,38,61,-12,54,0.74,14,37,9,24,0,0,0,5,223,10.3,18:58,46.5
Chris Kunitz,20112012,PIT,L,L,82,26,35,61,16,49,0.74,20,43,6,18,0,0,0,3,230,11.3,18:19,52.6
Corey Perry,20112012,ANA,R,R,80,37,23,60,-7,127,0.75,22,35,14,23,1,2,1,6,277,13.4,21:23,39.6
David Desharnais,20112012,MTL,L,C,81,16,44,60,10,24,0.74,13,40,3,20,0,0,0,2,98,16.3,18:24,49.5
Milan Michalek,20112012,OTT,L,L,77,35,25,60,4,32,0.78,24,43,10,15,1,2,0,3,212,16.5,19:33,16.7
Pascal Dupuis,20112012,PIT,L,R,82,25,34,59,18,34,0.72,22,55,0,1,3,3,0,8,214,11.7,16:56,44.4
Daniel Alfredsson,20112012,OTT,R,R,75,27,32,59,16,18,0.79,17,41,7,14,3,4,2,4,191,14.1,18:57,43.5
Justin Williams,20112012,LAK,R,R,82,22,37,59,10,44,0.72,13,40,9,19,0,0,0,2,241,9.1,17:09,44
Rick Nash,20112012,CBJ,L,L,82,30,29,59,-19,40,0.72,22,38,6,19,2,2,0,2,306,9.8,19:05,31.6
Martin Erat,20112012,NSH,L,R,71,19,39,58,12,30,0.82,13,39,5,18,1,1,0,3,107,17.8,18:29,47.6
Stephen Weiss,20112012,FLA,L,C,80,20,37,57,5,60,0.71,14,39,5,17,1,1,0,6,149,13.4,20:31,53.2
Bobby Ryan,20112012,ANA,R,R,82,31,26,57,1,53,0.7,26,44,3,11,2,2,0,3,204,15.2,18:21,29
Evander Kane,20112012,WPG,L,L,74,30,27,57,11,53,0.77,24,48,6,9,0,0,1,4,287,10.5,17:31,34.1
Jonathan Toews,20112012,CHI,L,C,59,29,28,57,17,28,0.97,23,42,5,12,1,3,0,4,185,15.7,20:51,59.4
Ryan Getzlaf,20112012,ANA,R,C,82,11,46,57,-11,75,0.7,7,33,4,23,0,1,1,4,185,6,21:36,47.2
Johan Franzen,20112012,DET,L,R,77,29,27,56,23,40,0.73,18,43,11,13,0,0,1,10,211,13.7,17:42,44.1
Ryan O'Reilly,20112012,COL,L,C,81,18,37,55,-1,12,0.68,14,40,4,15,0,0,2,3,189,9.5,19:32,52.8
Brad Marchand,20112012,BOS,L,L,76,28,27,55,31,87,0.72,22,46,5,6,1,3,0,3,167,16.8,17:37,55.6
Vinny Prospal,20112012,CBJ,L,L,82,16,39,55,-11,36,0.67,13,40,3,15,0,0,0,0,165,9.7,17:53,40.9
Jaromir Jagr,20112012,PHI,L,R,73,19,35,54,5,30,0.74,11,34,8,20,0,0,1,2,170,11.2,16:20,0
Kris Versteeg,20112012,FLA,R,R,71,23,31,54,4,49,0.76,14,35,8,18,1,1,1,5,181,12.7,19:55,32.3
T.J. Oshie,20112012,STL,R,R,80,19,35,54,15,50,0.68,15,36,3,16,1,2,0,3,188,10.1,19:32,45.3
Ryan Callahan,20112012,NYR,R,R,76,29,25,54,-8,61,0.71,15,34,13,17,1,3,2,9,235,12.3,21:02,50
David Backes,20112012,STL,R,R,82,24,30,54,15,101,0.66,14,34,8,17,2,3,0,4,234,10.3,20:00,48.6
Dustin Brown,20112012,LAK,R,R,82,22,32,54,18,53,0.66,12,35,9,16,1,3,0,6,214,10.3,20:10,43.6
Alexander Semin,20112012,WSH,R,R,77,21,33,54,9,58,0.7,19,43,2,11,0,0,0,1,183,11.5,16:47,9.1
David Legwand,20112012,NSH,L,C,78,19,34,53,3,26,0.68,14,33,5,19,0,1,2,2,140,13.6,18:31,46.2
Taylor Hall,20112012,EDM,L,L,61,27,26,53,-3,36,0.87,14,32,13,21,0,0,2,7,207,13,18:13,40.4
Brian Campbell,20112012,FLA,L,D,82,4,49,53,-9,6,0.65,3,22,1,31,0,0,0,0,131,3.1,26:54,--
Paul Stastny,20112012,COL,L,C,79,21,32,53,-8,34,0.67,14,34,7,19,0,0,0,2,190,11.1,18:50,55.4
Dustin Byfuglien,20112012,WPG,R,D,66,12,41,53,-8,72,0.8,8,33,4,19,0,1,0,3,223,5.4,24:07,--
Dany Heatley,20112012,MIN,L,L,82,24,29,53,2,28,0.65,16,34,8,19,0,0,0,3,238,10.1,20:57,53.7
Tomas Plekanec,20112012,MTL,L,C,81,17,35,52,-15,56,0.64,9,28,5,18,3,6,0,2,220,7.7,20:45,49.1
Alexandre Burrows,20112012,VAN,L,R,80,28,24,52,24,90,0.65,23,43,3,7,2,2,0,7,198,14.1,18:28,35
Zdeno Chara,20112012,BOS,L,D,79,12,40,52,33,86,0.66,4,33,8,18,0,1,0,0,224,5.4,25:00,0
Gabriel Landeskog,20112012,COL,L,L,82,22,30,52,20,51,0.63,16,38,6,12,0,2,1,5,270,8.2,18:37,22.2
Ryan Nugent-Hopkins,20112012,EDM,L,C,62,18,34,52,-2,16,0.84,15,29,3,23,0,0,0,2,134,13.4,17:36,37.5
Mike Fisher,20112012,NSH,R,C,72,24,27,51,11,33,0.71,19,36,5,14,0,1,0,7,157,15.3,19:18,48.3
Mikhail Grabovski,20112012,TOR,L,C,74,23,28,51,0,51,0.69,18,41,5,10,0,0,1,2,163,14.1,17:36,51.5
Adam Henrique,20112012,NJD,L,C,74,16,35,51,8,7,0.69,12,36,0,8,4,7,1,3,130,12.3,18:10,48.8
Derek Stepan,20112012,NYR,R,C,82,17,34,51,14,22,0.62,13,35,4,16,0,0,1,4,169,10.1,18:57,44.5
Alex Pietrangelo,20112012,STL,R,D,81,12,39,51,16,36,0.63,6,26,6,24,0,1,1,6,202,5.9,24:44,--
Shane Doan,20112012,PHX,R,R,79,22,28,50,-8,48,0.63,17,35,5,14,0,1,1,5,226,9.7,19:36,55.9
Drew Stafford,20112012,BUF,R,R,80,20,30,50,5,46,0.63,16,42,3,7,1,1,0,4,226,8.9,17:39,52.3
Jordan Staal,20112012,PIT,L,C,62,25,25,50,11,34,0.81,17,38,5,7,3,5,0,0,149,16.8,20:03,51
Andrew Ladd,20112012,WPG,L,L,82,28,22,50,-8,64,0.61,24,38,4,12,0,0,2,6,265,10.6,19:34,54.2
Jiri Hudler,20112012,DET,L,R,81,25,25,50,10,42,0.62,23,40,2,10,0,0,0,2,127,19.7,15:40,28.6
Vincent Lecavalier,20112012,TBL,L,C,64,22,27,49,-2,50,0.77,17,38,5,11,0,0,1,5,182,12.1,18:56,47.9
Daniel Briere,20112012,PHI,R,C,70,16,33,49,5,69,0.7,12,32,4,17,0,0,2,3,174,9.2,17:22,48.9
Shea Weber,20112012,NSH,R,D,78,19,30,49,21,46,0.63,7,25,10,22,2,2,0,1,230,8.3,26:10,--
Alex Tanguay,20112012,CGY,L,L,64,13,36,49,7,28,0.77,11,32,1,15,1,2,0,3,84,15.5,19:03,37.3
Ryan Kesler,20112012,VAN,R,C,77,22,27,49,11,56,0.64,13,28,8,19,1,2,0,1,222,9.9,20:06,53.6
Jakub Voracek,20112012,PHI,L,R,78,18,31,49,11,32,0.63,18,38,0,11,0,0,0,2,190,9.5,16:17,30.4
Wayne Simmonds,20112012,PHI,R,R,82,28,21,49,-1,114,0.6,17,33,11,16,0,0,0,4,197,14.2,15:55,41.2
Alexander Edler,20112012,VAN,L,D,82,11,38,49,0,34,0.6,5,26,5,22,1,1,0,0,228,4.8,23:52,0
Dan Boyle,20112012,SJS,R,D,81,9,39,48,10,57,0.59,6,31,3,17,0,0,1,2,252,3.6,25:35,--
Steve Sullivan,20112012,PIT,R,L,79,17,31,48,-3,20,0.61,12,27,5,21,0,0,0,1,140,12.1,15:22,44.4
Curtis Glencross,20112012,CGY,L,L,67,26,22,48,-13,62,0.72,17,33,8,13,1,2,0,3,110,23.6,18:01,50
Ryan Malone,20112012,TBL,L,L,68,20,28,48,-11,92,0.71,14,32,5,15,1,1,1,2,144,13.9,17:41,36.7
Kyle Wellwood,20112012,WPG,R,C,77,18,29,47,3,4,0.61,14,37,4,10,0,0,1,1,93,19.4,14:57,54
Nick Foligno,20112012,OTT,L,L,82,15,32,47,2,124,0.57,14,43,1,4,0,0,0,3,153,9.8,14:39,41.6
Frans Nielsen,20112012,NYI,L,C,82,17,30,47,-3,6,0.57,12,32,5,15,0,0,0,1,133,12.8,17:27,45.2
Tyler Bozak,20112012,TOR,R,C,73,18,29,47,-7,22,0.64,14,34,4,12,0,1,0,1,109,16.5,18:51,52.7
Matt Read,20112012,PHI,R,R,79,24,23,47,13,12,0.59,18,33,4,11,2,3,0,6,155,15.5,17:04,41
Sam Gagner,20112012,EDM,R,C,75,18,29,47,5,36,0.63,12,35,6,12,0,0,0,0,149,12.1,17:11,47.7
Mark Streit,20112012,NYI,L,D,82,7,40,47,-27,46,0.57,4,24,3,23,0,0,1,1,149,4.7,23:23,0
Ryan Smyth,20112012,EDM,L,L,82,19,27,46,-5,82,0.56,15,38,4,8,0,0,0,4,194,9.8,19:05,44
Bryan Little,20112012,WPG,R,C,74,24,22,46,-11,26,0.62,18,32,6,13,0,1,0,6,162,14.8,20:13,49.6
Jussi Jokinen,20112012,CAR,L,L,79,12,34,46,-2,54,0.58,7,26,3,18,2,2,0,3,118,10.2,17:40,55.1
Ryan Suter,20112012,NSH,L,D,79,7,39,46,15,30,0.58,3,19,3,25,1,2,0,1,134,5.2,26:30,0
David Clarkson,20112012,NJD,R,R,80,30,16,46,-8,138,0.58,22,30,8,16,0,0,1,7,228,13.2,16:22,42
Marcus Johansson,20112012,WSH,L,C,80,14,32,46,-5,8,0.58,13,38,1,8,0,0,0,3,90,15.6,16:48,43.2
Dennis Wideman,20112012,WSH,R,D,82,11,35,46,-8,46,0.56,7,26,4,20,0,0,1,3,175,6.3,23:54,--
Kyle Okposo,20112012,NYI,R,R,79,24,21,45,-15,46,0.57,21,39,3,6,0,0,0,2,152,15.8,17:04,47.9
Ryane Clowe,20112012,SJS,L,L,76,17,28,45,-5,97,0.59,13,30,4,15,0,0,0,2,180,9.4,17:52,30
Dion Phaneuf,20112012,TOR,L,D,82,12,32,44,-10,92,0.54,5,21,7,22,0,1,1,1,202,5.9,25:17,--
Jeff Skinner,20112012,CAR,L,L,64,20,24,44,-8,56,0.69,16,31,4,13,0,0,0,5,210,9.5,18:37,42.1
Mikko Koivu,20112012,MIN,L,C,55,12,32,44,10,28,0.8,9,25,2,15,1,4,1,2,129,9.3,21:21,52.3
Nicklas Backstrom,20112012,WSH,L,C,42,14,30,44,-4,24,1.05,11,25,3,19,0,0,1,4,95,14.7,19:10,51.1
Kyle Brodziak,20112012,MIN,R,C,82,22,22,44,-15,66,0.54,17,33,5,11,0,0,0,0,160,13.8,19:04,49.5
Derek Roy,20112012,BUF,L,C,80,17,27,44,-7,54,0.55,10,31,6,12,1,1,1,2,176,9.7,19:19,50.6
Petr Sykora,20112012,NJD,L,R,82,21,23,44,4,40,0.54,17,38,4,6,0,0,0,6,170,12.4,15:54,55.6
Mike Richards,20112012,LAK,L,C,74,18,26,44,3,71,0.59,11,26,3,14,4,4,0,1,171,10.5,18:53,50.5
Dainius Zubrus,20112012,NJD,L,C,82,17,27,44,7,34,0.54,10,33,4,6,3,5,0,2,109,15.6,18:41,43.3
Kevin Bieksa,20112012,VAN,R,D,78,8,36,44,12,94,0.56,6,34,2,10,0,0,0,2,166,4.8,23:38,0
Sergei Kostitsyn,20112012,NSH,L,L,75,17,26,43,8,34,0.57,15,33,1,9,1,1,0,3,97,17.5,16:28,0
Viktor Stalberg,20112012,CHI,L,L,79,22,21,43,6,34,0.54,22,43,0,0,0,0,1,6,215,10.2,14:04,45.5
Patric Hornqvist,20112012,NSH,R,R,76,27,16,43,9,28,0.57,19,33,8,10,0,0,0,3,230,11.7,15:20,66.7
Chris Higgins,20112012,VAN,L,L,71,18,25,43,11,16,0.61,16,34,1,8,1,1,2,4,165,10.9,16:19,40
Keith Yandle,20112012,PHX,L,D,82,11,32,43,5,51,0.52,11,32,0,11,0,0,0,2,196,5.6,22:20,--
Kimmo Timonen,20112012,PHI,L,D,76,4,39,43,8,46,0.57,0,22,4,21,0,0,0,0,130,3.1,21:14,100
Clarke MacArthur,20112012,TOR,L,L,73,20,23,43,3,37,0.59,17,34,3,9,0,0,1,4,148,13.5,15:51,45.5
Kevin Shattenkirk,20112012,STL,R,D,81,9,34,43,20,60,0.53,4,24,5,18,0,1,0,2,178,5.1,21:36,25
Kris Letang,20112012,PIT,R,D,51,10,32,42,21,34,0.82,5,25,4,15,1,2,1,3,142,7,24:50,--
David Perron,20112012,STL,R,L,57,21,21,42,19,28,0.74,15,30,5,10,1,2,0,4,114,18.4,18:17,20
Rich Peverley,20112012,BOS,R,C,57,11,31,42,20,22,0.74,10,29,1,11,0,2,0,1,112,9.8,16:54,61.1
Cody Hodgson,20112012,"VAN,BUF",R,C,83,19,22,41,1,10,0.49,12,27,7,14,0,0,0,3,154,12.3,13:49,46.3
Brooks Laich,20112012,WSH,L,C,82,16,25,41,-8,34,0.5,10,31,5,9,1,1,1,5,191,8.4,18:30,47.6
Derick Brassard,20112012,CBJ,L,C,74,14,27,41,-20,42,0.55,9,26,5,15,0,0,1,3,125,11.2,16:20,45.1
Michael Cammalleri,20112012,"MTL,CGY",L,L,66,20,21,41,-10,26,0.62,17,29,3,12,0,0,0,4,175,11.4,18:07,45.6
Steve Downie,20112012,"TBL,COL",R,R,75,14,27,41,-6,137,0.55,12,35,2,6,0,0,0,2,140,10,15:56,46
Michael Del Zotto,20112012,NYR,L,D,77,10,31,41,20,36,0.53,8,24,1,14,1,3,0,2,113,8.9,22:26,--
Duncan Keith,20112012,CHI,L,D,74,4,36,40,15,42,0.54,3,25,1,13,0,2,0,1,162,2.5,26:54,--
R.J. Umberger,20112012,CBJ,L,C,77,20,20,40,-10,27,0.52,15,29,5,10,0,1,0,3,200,10,18:11,49
Steve Ott,20112012,DAL,L,C,74,11,28,39,5,156,0.53,7,29,4,8,0,2,1,2,108,10.2,18:21,55.5
Jason Chimera,20112012,WSH,L,L,82,20,19,39,4,78,0.48,17,36,1,1,2,2,1,5,205,9.8,14:26,48.4
Jannik Hansen,20112012,VAN,R,R,82,16,23,39,18,34,0.48,15,36,0,0,1,3,0,1,137,11.7,14:54,41.4
Chris Kelly,20112012,BOS,L,C,82,20,19,39,33,41,0.48,17,36,1,1,2,2,0,6,122,16.4,14:44,51.8
Patrik Berglund,20112012,STL,L,C,82,19,19,38,4,30,0.46,17,32,0,4,2,2,0,3,188,10.1,17:58,48.5
Matt Carle,20112012,PHI,L,D,82,4,34,38,4,36,0.46,1,26,3,12,0,0,0,0,132,3,23:01,--
Saku Koivu,20112012,ANA,L,C,74,11,27,38,7,50,0.51,11,32,0,6,0,0,0,1,107,10.3,18:08,52.4
Jack Johnson,20112012,"LAK,CBJ",L,D,82,12,26,38,-7,39,0.46,7,21,5,17,0,0,2,5,176,6.8,23:46,--
Todd Bertuzzi,20112012,DET,L,R,71,14,24,38,23,64,0.54,14,34,0,4,0,0,1,1,118,11.9,15:33,38.5
Carl Hagelin,20112012,NYR,L,L,64,14,24,38,21,24,0.59,12,36,0,0,2,2,0,2,131,10.7,15:03,16.7
Matt Cooke,20112012,PIT,L,L,82,19,19,38,5,44,0.46,16,28,1,6,2,4,0,4,147,12.9,15:41,54.6
Antoine Vermette,20112012,"CBJ,PHX",L,C,82,11,26,37,-13,28,0.45,6,26,4,9,1,2,0,4,149,7.4,17:12,56.6
David Jones,20112012,COL,R,R,72,20,17,37,-8,32,0.51,16,30,3,6,1,1,2,5,136,14.7,15:45,47.1
Lauri Korpikoski,20112012,PHX,L,L,82,17,20,37,3,14,0.45,14,32,0,2,3,3,0,3,146,11.6,17:08,26.4
Colin Greening,20112012,OTT,L,C,82,17,20,37,-4,46,0.45,13,29,4,8,0,0,0,0,184,9.2,15:35,41.9
Sergei Gonchar,20112012,OTT,L,D,74,5,32,37,-4,55,0.5,3,22,2,14,0,1,0,1,131,3.8,22:15,--
Nick Leddy,20112012,CHI,L,D,82,3,34,37,-12,10,0.45,3,26,0,11,0,0,0,0,94,3.2,22:05,--
Dave Bolland,20112012,CHI,R,C,76,19,18,37,0,47,0.49,9,22,7,12,3,3,0,2,126,15.1,16:30,48.4
Dan Hamhuis,20112012,VAN,L,D,82,4,33,37,29,46,0.45,3,24,1,11,0,2,0,0,140,2.9,23:26,--
Jamie McGinn,20112012,"SJS,COL",L,L,78,20,17,37,-3,37,0.47,14,29,6,8,0,0,0,2,159,12.6,13:27,85.7
Sidney Crosby,20112012,PIT,L,C,22,8,29,37,15,14,1.68,6,26,2,11,0,0,0,3,75,10.7,18:28,50.1
Brent Burns,20112012,SJS,R,D,81,11,26,37,8,34,0.46,6,21,5,16,0,0,1,2,201,5.5,22:32,--
Milan Hejduk,20112012,COL,R,R,81,14,23,37,-12,14,0.46,8,23,6,14,0,0,0,1,170,8.2,17:01,25
Drew Doughty,20112012,LAK,R,D,77,10,26,36,-2,69,0.47,7,23,3,13,0,0,1,3,168,6,24:54,--
Niklas Kronwall,20112012,DET,L,D,82,15,21,36,-2,38,0.44,8,21,7,14,0,1,0,4,141,10.6,22:52,--
P.K. Subban,20112012,MTL,R,D,81,7,29,36,9,119,0.44,2,21,5,14,0,1,0,0,205,3.4,24:18,--
Devin Setoguchi,20112012,MIN,R,R,69,19,17,36,-17,28,0.52,12,23,7,13,0,0,1,2,174,10.9,17:36,27.3
Craig Smith,20112012,NSH,R,C,72,14,22,36,-9,30,0.5,8,23,6,13,0,0,0,1,172,8.1,14:11,44
Ales Hemsky,20112012,EDM,R,R,69,10,26,36,-13,43,0.52,9,27,1,9,0,0,0,1,137,7.3,17:36,33.3
Tim Connolly,20112012,TOR,R,C,70,13,23,36,-14,40,0.51,11,31,2,5,0,0,2,3,104,12.5,17:00,48.7
Artem Anisimov,20112012,NYR,L,C,79,16,20,36,12,34,0.46,11,31,4,4,1,1,0,1,132,12.1,15:24,46.7
Jiri Tlusty,20112012,CAR,L,L,79,17,19,36,1,26,0.46,15,29,2,6,0,1,0,1,136,12.5,14:54,27.3
Andrei Kostitsyn,20112012,"MTL,NSH",L,L,72,16,20,36,-1,26,0.5,11,30,5,6,0,0,0,5,122,13.1,15:07,17.7
Nik Antropov,20112012,WPG,L,C,69,15,20,35,0,42,0.51,11,25,4,10,0,0,0,0,95,15.8,16:31,43.4
Matt Cullen,20112012,MIN,L,C,73,14,21,35,-10,24,0.48,10,26,4,9,0,0,0,0,164,8.5,18:56,53.2
Colin Wilson,20112012,NSH,L,C,68,15,20,35,5,21,0.51,10,23,5,12,0,0,1,5,114,13.2,16:08,50.7
Nicklas Lidstrom,20112012,DET,L,D,70,11,23,34,21,28,0.49,7,17,4,17,0,0,0,0,148,7.4,23:46,--
Jeff Carter,20112012,"CBJ,LAK",R,C,55,21,13,34,-12,16,0.62,11,21,10,13,0,0,0,2,184,11.4,19:11,50.8
Tyler Ennis,20112012,BUF,L,C,48,15,19,34,11,14,0.71,13,30,2,4,0,0,0,1,82,18.3,16:10,45.9
Shawn Horcoff,20112012,EDM,L,C,81,13,21,34,-23,24,0.42,8,21,5,13,0,0,0,0,123,10.6,19:35,49.4
Brent Seabrook,20112012,CHI,R,D,78,9,25,34,21,22,0.44,7,29,2,4,0,1,0,3,156,5.8,24:43,--
Brandon Dubinsky,20112012,NYR,L,C,77,10,24,34,16,110,0.44,9,29,0,2,1,3,0,1,140,7.1,16:16,51.9
Max Talbot,20112012,PHI,L,C,81,19,15,34,5,59,0.42,16,29,1,2,2,3,0,2,115,16.5,16:00,44.4
Tuomo Ruutu,20112012,CAR,L,L,72,18,16,34,-3,50,0.47,15,29,3,5,0,0,1,2,156,11.5,16:28,35.5
Martin Hanzal,20112012,PHX,L,C,64,8,26,34,12,63,0.53,5,23,3,11,0,0,0,2,145,5.5,18:27,52.1
Jason Arnott,20112012,STL,R,C,72,17,17,34,13,26,0.47,11,20,6,14,0,0,0,3,142,12,14:05,50.3
Jason Garrison,20112012,FLA,L,D,77,16,17,33,6,32,0.43,7,20,9,12,0,1,0,3,168,9.5,23:42,50
Alexei Ponikarovsky,20112012,"CAR,NJD",L,L,82,14,19,33,-3,34,0.4,10,26,4,7,0,0,0,2,156,9,14:45,33.3
Tyler Kennedy,20112012,PIT,R,C,60,11,22,33,10,29,0.55,11,30,0,3,0,0,0,1,195,5.6,14:22,47.2
Daniel Cleary,20112012,DET,L,R,75,12,21,33,2,30,0.44,10,30,2,3,0,0,0,0,199,6,15:59,41.2
