Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Evgeni Malkin,20112012,PIT,L,C,75,50,59,109,18,70,1.45,38,75,12,34,0,0,1,9,339,14.8,21:01,47.5
Steven Stamkos,20112012,TBL,R,C,82,60,37,97,7,66,1.18,48,72,12,25,0,0,5,12,303,19.8,22:01,45.5
Claude Giroux,20112012,PHI,R,C,77,28,65,93,6,29,1.21,22,53,6,38,0,2,2,5,242,11.6,21:33,53.7
Jason Spezza,20112012,OTT,R,C,80,34,50,84,11,36,1.05,24,60,10,24,0,0,0,2,232,14.7,19:55,53.5
Ilya Kovalchuk,20112012,NJD,R,L,77,37,46,83,-9,33,1.08,24,49,10,29,3,5,0,5,310,11.9,23:49,35.1
Phil Kessel,20112012,TOR,R,R,82,37,45,82,-10,20,1,27,59,10,23,0,0,0,6,295,12.5,20:03,32.1
John Tavares,20112012,NYI,L,C,82,31,50,81,-6,26,0.99,24,56,7,25,0,0,1,8,286,10.8,20:34,51.3
James Neal,20112012,PIT,L,L,80,40,41,81,6,87,1.01,22,51,18,30,0,0,0,4,329,12.2,19:08,26.7
Henrik Sedin,20112012,VAN,L,C,82,14,67,81,23,52,0.99,6,54,8,27,0,0,0,6,113,12.4,19:05,50.1
Erik Karlsson,20112012,OTT,R,D,81,19,59,78,16,42,0.96,16,50,3,28,0,0,0,5,261,7.3,25:19,0
Patrik Elias,20112012,NJD,L,C,81,26,52,78,-8,16,0.96,16,45,8,29,2,4,0,3,164,15.9,19:51,44.1
Marian Hossa,20112012,CHI,L,R,81,29,48,77,18,20,0.95,18,54,9,20,2,3,0,4,248,11.7,19:58,33.3
Joe Thornton,20112012,SJS,L,C,82,18,59,77,17,31,0.94,14,53,4,23,0,1,0,2,156,11.5,20:28,56.1
Ray Whitney,20112012,PHX,R,L,82,24,53,77,26,28,0.94,16,57,8,20,0,0,0,1,185,13,18:39,26.7
Anze Kopitar,20112012,LAK,L,C,82,25,51,76,12,20,0.93,15,46,8,26,2,4,0,2,230,10.9,21:20,53.8
Marian Gaborik,20112012,NYR,L,R,82,41,35,76,15,34,0.93,31,55,10,21,0,0,3,7,276,14.9,19:31,0
Jordan Eberle,20112012,EDM,R,R,78,34,42,76,4,10,0.97,24,56,10,20,0,0,0,4,180,18.9,17:36,44.4
Martin St. Louis,20112012,TBL,L,R,77,25,49,74,-3,16,0.96,21,58,4,16,0,0,1,3,185,13.5,22:38,43.9
Jason Pominville,20112012,BUF,R,R,82,30,43,73,-7,12,0.89,20,44,8,26,2,3,2,5,235,12.8,19:41,47.7
Loui Eriksson,20112012,DAL,L,L,82,26,45,71,18,12,0.87,19,56,5,12,2,3,2,3,187,13.9,19:46,43.8
Eric Staal,20112012,CAR,L,C,82,24,46,70,-20,48,0.85,14,42,7,23,3,5,1,3,262,9.2,21:33,52.5
Henrik Zetterberg,20112012,DET,L,C,82,22,47,69,14,47,0.84,19,53,3,14,0,2,0,4,267,8.2,19:50,49.2
Zach Parise,20112012,NJD,L,L,82,31,38,69,-5,32,0.84,21,48,7,14,3,7,1,3,293,10.6,21:29,47.6
Patrick Sharp,20112012,CHI,R,L,74,33,36,69,28,38,0.93,25,51,7,17,1,1,2,8,282,11.7,19:54,47.8
Matt Moulson,20112012,NYI,L,L,82,36,33,69,1,6,0.84,22,45,14,24,0,0,0,5,219,16.4,19:18,50
Joffrey Lupul,20112012,TOR,R,L,66,25,42,67,1,48,1.02,17,46,8,21,0,0,0,3,191,13.1,18:37,36.2
Jarome Iginla,20112012,CGY,R,R,82,32,35,67,-10,43,0.82,24,48,8,19,0,0,0,5,251,12.8,20:36,50.2
Scott Hartnell,20112012,PHI,L,L,82,37,30,67,19,136,0.82,21,44,16,23,0,0,1,6,232,16,17:47,31.8
PA Parenteau,20112012,NYI,R,R,80,18,49,67,-8,89,0.84,12,48,6,19,0,0,0,2,167,10.8,18:39,38.5
Tyler Seguin,20112012,BOS,R,C,81,29,38,67,34,30,0.83,24,52,5,15,0,0,0,7,242,12,16:56,43.4
Pavel Datsyuk,20112012,DET,L,C,70,19,48,67,21,14,0.96,15,44,4,23,0,0,1,5,164,11.6,19:34,56.2
Daniel Sedin,20112012,VAN,L,L,72,30,37,67,14,40,0.93,20,42,10,25,0,0,2,6,229,13.1,18:49,31.6
Valtteri Filppula,20112012,DET,L,C,81,23,43,66,18,14,0.81,19,54,3,11,1,1,0,1,144,16,18:16,51.7
Brad Richards,20112012,NYR,L,C,82,25,41,66,-1,22,0.8,18,42,7,24,0,0,1,9,229,10.9,20:16,51.8
